Passport,AD,AE,AF,AG,AL,AM,AO,AR,AT,AU,AZ,BA,BB,BD,BE,BF,BG,BH,BI,BJ,BN,BO,BR,BS,BT,BW,BY,BZ,CA,CD,CF,CG,CH,CI,CL,CM,CN,CO,CR,CU,CV,CY,CZ,DE,DJ,DK,DM,DO,DZ,EC,EE,EG,ER,ES,ET,FI,FJ,FM,FR,GA,GB,GD,GE,GH,GM,GN,GQ,GR,GT,GW,GY,HK,HN,HR,HT,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JM,JO,JP,KE,KG,KH,KI,KM,KN,KP,KR,KW,KZ,LA,LB,LC,LI,LK,LR,LS,LT,LU,LV,LY,MA,MC,MD,ME,MG,MH,MK,ML,MM,MN,MO,MR,MT,MU,MV,MW,MX,MY,MZ,NA,NE,NG,NI,NL,NO,NP,NR,NZ,OM,PA,PE,PG,PH,PK,PL,PS,PT,PW,PY,QA,RO,RS,RU,RW,SA,SB,SC,SD,SE,SG,SI,SK,SL,SM,SN,SO,SR,SS,ST,SV,SY,SZ,TD,TG,TH,TJ,TL,TM,TN,TO,TR,TT,TV,TW,TZ,UA,UG,US,UY,UZ,VA,VC,VE,VN,VU,WS,XK,YE,ZA,ZM,ZW
AD,-1,3,0,3,3,3,0,3,3,1,2,3,0,2,3,0,3,2,0,0,0,3,3,3,0,0,3,3,1,0,0,0,3,1,3,0,0,3,3,2,3,3,3,3,2,3,3,3,0,3,3,2,0,3,2,3,0,3,3,2,3,0,3,0,3,2,0,3,3,2,0,3,3,3,3,3,3,3,3,1,0,2,3,3,2,2,3,2,3,2,0,2,0,0,3,2,0,2,2,3,3,1,0,2,3,3,3,0,3,3,3,3,2,2,3,0,0,0,3,2,3,2,2,2,3,3,2,0,0,2,3,3,3,2,0,1,2,3,3,2,3,0,3,3,3,2,3,3,3,3,0,2,2,2,2,0,3,3,3,3,0,3,2,2,2,0,3,3,0,3,0,2,3,2,2,0,3,0,3,0,2,3,2,3,2,1,3,3,3,3,3,2,3,2,3,0,3,2,2
AE,3,-1,0,3,3,3,2,3,3,2,2,3,3,2,3,3,3,3,2,2,3,2,3,3,0,3,3,0,1,2,2,2,3,2,3,0,3,3,3,3,2,3,3,3,2,3,3,3,0,3,3,3,0,3,2,3,3,3,3,2,1,3,3,0,3,2,2,3,3,2,2,3,3,3,3,3,3,3,0,2,0,2,3,3,0,3,3,2,3,2,0,2,3,0,3,3,3,2,3,3,3,1,2,2,3,3,3,0,3,3,3,3,2,2,3,3,0,2,2,2,3,3,2,2,3,3,2,2,2,2,3,3,3,2,3,1,3,3,0,0,3,2,3,3,3,2,3,3,3,3,3,2,3,3,2,3,3,3,3,3,2,3,2,2,2,3,3,3,3,3,3,2,3,2,2,0,3,3,2,0,2,2,2,3,2,0,3,3,3,3,0,2,3,2,3,2,3,2,2
AF,0,0,-1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,3,0,0,0,0,0,0,0,2,0,0,3,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,2,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,3,0,0,0,2,0,0,0,0,0
AG,3,0,0,-1,3,2,0,0,3,0,0,3,3,2,3,0,3,0,0,0,0,2,3,3,0,3,3,3,0,0,0,0,3,1,3,0,0,3,3,3,2,3,3,3,2,3,3,3,0,3,3,2,0,3,2,3,3,3,3,2,3,3,3,0,3,2,0,3,3,2,3,3,3,3,3,3,3,3,0,1,0,2,3,3,3,2,0,2,0,2,3,2,3,0,3,0,0,2,2,3,3,1,0,3,3,3,3,0,0,3,3,3,2,0,3,0,0,0,2,2,3,3,2,3,0,3,2,0,0,2,3,3,3,2,0,0,0,3,3,0,3,0,3,3,3,2,0,3,3,3,3,2,0,2,2,0,3,3,3,3,2,3,2,2,3,0,0,3,0,3,0,2,0,0,2,0,3,0,2,3,2,0,3,3,3,0,0,2,3,3,3,0,3,2,3,0,3,3,3
AL,3,0,0,3,-1,3,0,0,3,0,2,3,3,2,3,0,3,0,0,0,0,2,3,0,0,0,3,0,0,0,0,0,3,1,3,0,0,3,0,2,2,3,3,3,2,3,3,3,0,3,3,2,0,3,2,3,0,3,3,2,0,0,3,0,3,2,0,3,0,2,0,3,0,3,3,3,3,0,3,1,0,2,3,3,2,0,0,2,2,2,0,2,0,0,3,0,0,2,0,0,3,1,0,2,3,3,3,0,0,3,3,3,2,0,3,0,2,0,3,2,3,2,2,2,0,3,2,0,0,2,0,3,3,2,0,0,2,0,0,0,0,0,3,3,3,2,0,2,3,3,0,2,0,0,2,0,3,3,3,3,0,3,2,2,2,0,0,3,0,0,0,2,0,0,2,0,0,0,3,3,2,0,2,3,2,0,0,2,3,3,0,0,0,2,3,0,0,2,2
AM,0,0,0,3,3,-1,0,3,0,0,0,0,3,2,0,0,0,0,0,0,0,2,3,3,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,2,0,3,0,0,3,0,0,0,0,2,0,0,3,0,2,0,0,3,0,3,2,0,0,0,2,0,3,0,0,3,0,3,0,0,1,0,3,0,0,2,2,0,0,3,2,0,2,0,0,0,0,3,2,2,0,0,1,0,2,0,0,0,0,0,0,3,0,2,0,0,0,0,0,3,2,0,2,2,2,0,3,2,3,0,2,0,0,0,2,0,0,0,3,0,0,0,0,0,3,0,2,0,2,0,3,3,2,0,0,2,0,0,0,0,0,2,0,2,2,2,0,0,0,0,0,0,2,0,3,2,0,0,0,2,0,2,0,2,3,2,0,3,3,0,3,0,2,0,2,0,0,0,0,2
AO,0,0,0,0,0,0,-1,0,0,0,0,0,0,2,0,0,0,0,0,3,0,2,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,0,0,2,0,3,0,0,0,0,0,0,0,2,0,0,3,0,2,0,0,0,2,3,2,0,0,0,2,0,0,0,0,3,0,3,0,0,1,0,2,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,3,2,2,0,0,3,3,0,2,2,0,0,2,0,0,0,3,0,0,3,2,0,0,0,2,0,2,0,0,0,3,0,0,2,0,0,3,0,0,0,0,2,2,2,0,3,0,0,0,0,2,0,0,2,0,3,0,0,0,2,0,2,0,3,0,0,2,0,3,0,0,0,2,0,0,3,3,3
AR,3,3,0,3,3,3,2,-1,3,0,2,3,3,2,3,2,3,2,0,0,0,3,3,3,0,3,3,3,0,0,0,0,3,1,3,0,0,3,3,2,2,3,3,3,2,3,3,3,0,3,3,2,0,3,2,3,3,3,3,2,3,3,3,0,0,2,0,3,3,2,3,3,3,3,3,3,3,3,3,1,0,2,3,3,3,2,3,2,3,2,0,2,3,0,3,0,3,2,2,3,3,1,0,2,3,3,3,0,3,3,3,3,2,2,3,0,2,3,3,2,3,3,2,2,3,3,2,0,0,2,3,3,3,2,0,1,2,3,3,2,3,2,3,3,3,2,3,3,3,3,3,2,0,2,2,0,3,3,3,3,0,3,2,2,3,0,0,3,0,3,0,2,3,2,2,0,3,0,3,3,2,0,2,3,2,0,3,3,3,3,3,2,3,2,3,0,3,2,2
AT,3,3,0,3,3,3,2,3,-1,1,2,3,3,2,3,2,3,2,0,0,3,3,3,3,0,3,3,3,1,0,0,0,3,1,3,0,0,3,3,2,3,3,3,3,2,3,3,3,0,3,3,2,0,3,2,3,3,3,3,2,3,3,3,0,3,2,0,3,3,2,3,3,3,3,3,3,3,3,3,1,0,2,3,3,3,2,3,2,3,2,3,2,3,0,3,2,3,2,2,3,3,1,0,3,3,3,3,0,3,3,3,3,2,3,3,0,2,0,3,2,3,3,2,2,3,3,2,3,0,2,3,3,3,2,0,1,2,3,3,2,3,2,3,3,3,3,3,3,3,3,0,2,2,3,2,0,3,3,3,3,2,3,3,2,2,0,3,3,0,3,0,2,3,2,3,0,3,3,2,3,3,3,2,3,2,1,3,3,3,3,3,2,3,3,3,0,3,2,2
AU,3,3,0,3,3,3,2,3,3,-1,2,3,3,2,3,2,3,2,0,0,2,3,3,3,0,3,3,3,1,0,0,0,3,1,3,0,0,3,3,2,2,3,3,3,2,3,3,3,0,3,3,2,0,3,2,3,3,3,3,2,3,3,3,0,3,2,0,3,3,2,3,3,3,3,3,3,3,3,3,1,0,2,3,3,3,2,3,2,3,2,3,2,3,0,3,2,3,2,2,3,3,1,0,3,3,3,3,0,3,3,3,3,2,2,3,0,2,0,3,2,3,3,2,2,3,3,2,3,0,2,3,3,3,2,0,3,2,3,3,2,3,0,3,3,3,2,2,3,3,3,0,2,2,2,2,0,3,3,3,3,2,3,2,2,2,0,0,3,0,3,0,2,3,2,2,0,3,2,2,2,2,3,2,0,2,1,3,3,3,3,3,2,3,2,3,0,3,2,2
