Passport,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
AFG,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,2,0,0,0,3,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0
AGO,0,-1,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,2,3,0,2,0,0,0,2,3,0,0,0,0,0,0,0,0,2,0,0,0,3,2,0,0,2,2,3,2,0,0,0,0,0,0,0,0,3,0,3,1,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,3,2,3,2,0,3,0,2,2,0,0,2,0,0,0,2,3,0,3,2,0,0,0,0,0,0,2,0,0,3,0,0,2,3,0,0,0,0,2,0,0,3,2,0,0,0,0,2,0,0,2,0,0,0,2,0,0,3,0,2,0,2,3,0,0,0,2,0,3,0,0,0,2,0,0,3,3,3
ALB,0,0,-1,3,0,0,3,3,0,3,2,0,3,0,0,2,3,0,0,3,3,0,2,3,3,0,0,0,0,0,3,3,0,1,0,0,0,3,2,2,0,2,3,3,3,2,3,3,3,0,3,2,0,3,3,2,3,0,3,3,2,0,3,0,2,3,2,0,3,0,0,0,3,0,3,3,3,3,1,0,2,0,3,3,3,2,0,0,0,2,2,2,0,0,3,0,2,0,0,0,0,3,1,2,3,3,3,3,0,3,3,2,2,0,0,3,0,3,2,3,0,2,2,2,2,3,0,0,2,0,3,3,2,0,0,2,0,0,0,0,2,0,3,0,3,0,3,2,3,0,2,0,0,2,3,0,0,3,3,2,3,0,0,2,3,3,3,0,2,0,0,2,0,0,0,2,0,3,0,3,2,0,2,2,3,0,0,2,3,3,0,0,0,2,3,0,0,2,2
AND,0,0,3,-1,3,3,3,3,1,3,2,0,3,0,0,2,3,2,3,3,3,3,3,3,0,0,0,0,0,1,3,3,0,1,0,0,0,3,2,3,3,2,3,3,3,2,3,3,3,0,3,2,0,3,3,2,3,0,3,3,2,3,3,0,2,3,2,0,3,0,3,0,3,3,3,3,3,3,1,3,2,0,3,3,3,2,2,3,0,2,3,2,0,0,3,2,2,2,0,0,3,3,1,2,3,3,3,3,3,3,3,2,2,3,2,3,0,3,0,3,0,2,2,2,2,3,0,0,2,3,3,3,2,0,1,2,0,3,3,3,2,2,3,0,3,3,3,3,3,0,2,2,0,2,3,2,0,3,3,2,3,0,3,2,3,3,3,3,2,0,0,2,3,2,0,2,0,0,3,3,2,3,2,2,3,3,1,3,3,3,3,2,3,2,3,0,3,2,2
ARE,0,2,3,3,-1,3,3,3,2,3,2,2,3,2,3,2,3,3,3,3,3,0,2,3,3,3,0,3,2,1,3,3,3,2,0,2,2,3,2,2,3,3,3,3,3,2,3,3,3,0,3,3,0,3,3,2,3,3,3,3,2,1,3,0,2,3,2,2,3,3,3,2,3,3,3,3,3,3,2,3,2,0,3,0,3,0,3,3,3,2,3,2,0,3,3,3,2,3,2,0,3,3,1,2,3,3,3,2,3,3,3,2,2,3,2,3,3,3,0,3,2,2,2,3,2,3,2,2,2,3,3,3,2,3,1,3,2,3,0,3,2,0,3,0,3,3,3,3,3,3,2,3,3,2,3,3,2,3,3,2,3,3,3,2,3,3,3,3,2,3,3,2,3,2,0,2,3,0,3,2,2,2,2,2,3,3,0,3,3,3,0,2,3,2,3,2,3,2,2
ARG,0,2,3,3,3,-1,3,3,0,3,2,0,3,0,2,2,3,2,3,3,3,3,3,3,3,0,0,3,0,0,3,3,0,1,0,0,0,3,2,2,3,2,3,3,3,2,3,3,3,0,3,2,0,3,3,2,3,3,3,3,2,3,3,0,2,0,2,0,3,3,3,3,3,3,3,3,3,3,1,3,2,0,3,3,3,3,2,3,3,2,3,2,0,3,3,0,2,2,0,0,3,3,1,2,3,3,3,3,3,3,3,2,2,3,2,3,0,3,2,3,3,2,2,3,2,3,0,0,2,3,3,3,2,0,1,2,2,3,3,3,2,2,3,0,3,3,3,3,3,3,2,0,0,2,3,2,0,3,3,2,3,0,0,3,3,3,3,3,2,0,0,2,3,2,0,2,0,3,3,3,2,0,2,2,3,3,0,3,3,3,3,2,3,2,3,0,3,2,2
ARM,0,0,3,0,0,3,-1,3,0,0,0,0,0,0,0,2,0,0,3,0,3,0,2,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,2,0,0,0,2,3,0,0,0,3,0,0,0,0,2,0,0,0,3,2,0,3,0,2,3,2,0,0,0,0,0,3,0,0,3,0,3,1,0,3,0,0,0,0,2,2,0,3,0,3,2,0,0,0,0,2,2,0,0,0,0,1,2,0,0,0,3,0,0,3,2,2,0,0,0,0,0,0,0,0,2,2,2,2,3,3,0,2,0,0,0,2,0,0,0,0,3,0,0,2,0,0,0,0,0,3,2,0,3,2,0,0,2,0,0,2,0,0,2,3,0,0,2,0,0,0,0,2,0,0,2,0,3,0,2,0,0,0,2,2,0,2,2,3,3,0,3,0,3,0,2,0,2,0,0,0,0,2
ATG,0,0,3,3,0,0,2,-1,0,3,0,0,3,0,0,2,3,0,3,3,3,3,2,3,3,0,0,3,0,0,3,3,0,1,0,0,0,3,2,2,3,3,3,3,3,2,3,3,3,0,3,2,0,3,3,2,3,3,3,3,2,3,3,0,2,3,2,0,3,3,3,3,3,3,3,3,3,3,1,3,2,0,3,0,3,3,2,0,0,2,0,2,3,3,3,0,2,2,0,0,3,3,1,3,3,3,3,2,0,3,3,2,2,0,0,3,0,3,0,3,0,2,2,3,3,3,0,0,2,3,3,3,2,0,0,0,0,3,3,3,2,0,3,0,3,0,3,3,3,3,2,0,0,2,3,2,2,3,3,2,3,0,0,3,3,3,3,3,2,0,0,2,0,0,0,2,0,3,3,2,2,0,3,3,3,0,0,2,3,3,3,0,3,2,3,0,3,3,3
AUS,0,2,3,3,3,3,3,3,-1,3,2,0,3,0,2,2,3,2,3,3,3,3,3,3,3,2,0,3,0,1,3,3,0,1,0,0,0,3,2,2,3,2,3,3,3,2,3,3,3,0,3,2,0,3,3,2,3,3,3,3,2,3,3,0,2,3,2,0,3,3,3,3,3,3,3,3,3,3,1,3,2,0,3,3,3,3,2,3,3,2,3,2,3,3,3,2,2,2,0,0,3,3,1,3,3,3,3,3,3,3,3,2,2,3,2,3,0,3,2,3,0,2,2,3,2,3,3,0,2,3,3,3,2,0,3,2,0,3,3,3,2,2,3,0,3,2,3,3,3,0,2,2,0,2,3,2,2,3,3,2,3,0,0,2,3,3,3,3,2,0,0,2,3,2,0,2,2,2,3,2,2,3,2,2,0,3,1,3,3,3,3,2,3,2,3,0,3,2,2
AUT,0,2,3,3,3,3,3,3,1,-1,2,0,3,0,2,2,3,2,3,3,3,3,3,3,3,3,0,3,0,1,3,3,0,1,0,0,0,3,2,3,3,2,3,3,3,2,3,3,3,0,3,2,0,3,3,2,3,3,3,3,2,3,3,0,2,3,2,0,3,3,3,3,3,3,3,3,3,3,1,3,2,0,3,3,3,3,2,3,3,2,3,2,3,3,3,2,2,2,0,0,3,3,1,3,3,3,3,3,3,3,3,2,2,3,3,3,0,3,2,3,0,2,2,3,2,3,3,0,2,3,3,3,2,0,1,2,2,3,3,3,3,2,3,0,3,3,3,3,3,0,2,2,0,3,3,3,2,3,3,2,3,0,3,2,3,3,3,3,2,0,0,2,3,2,0,3,3,3,3,2,3,3,2,2,3,3,1,3,3,3,3,2,3,3,3,0,3,2,2
AZE,0,0,3,0,0,0,0,3,0,0,-1,0,0,0,0,2,0,0,3,3,3,0,2,0,3,0,0,0,0,0,0,0,0,1,0,0,0,3,2,2,0,2,0,0,0,2,3,0,0,0,3,0,0,0,0,2,0,0,0,3,2,0,3,0,2,3,2,0,0,0,0,0,0,0,0,3,0,3,1,0,3,0,0,0,0,2,2,0,3,0,3,2,0,0,0,0,2,2,0,0,0,0,1,2,0,0,0,2,0,0,3,2,2,0,2,3,0,0,0,3,0,2,2,2,2,3,3,0,2,2,0,0,2,0,0,2,2,0,0,0,2,0,0,0,0,0,3,3,0,3,2,0,0,2,0,0,2,0,0,2,3,0,0,2,0,0,0,0,2,0,0,2,0,3,0,2,0,0,0,3,2,0,0,2,3,0,0,3,0,3,0,2,3,2,0,0,0,0,2
BDI,0,0,0,0,0,0,0,0,0,0,0,-1,0,3,0,2,0,0,0,0,0,0,2,0,3,0,0,0,3,0,0,0,0,1,0,3,0,0,2,2,0,2,0,0,0,2,3,0,0,0,3,0,0,0,0,2,0,0,0,3,2,0,0,2,2,3,2,0,0,0,0,0,0,0,0,3,0,3,1,0,2,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,2,2,3,2,0,2,0,2,2,0,0,2,0,0,0,0,0,0,3,2,0,0,0,0,0,0,2,0,0,3,0,0,2,3,0,0,0,0,2,3,0,0,2,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,2,0,2,3,0,0,0,0,0,3,0,0,0,2,0,0,0,2,2
BEL,0,2,3,3,3,3,3,3,1,3,2,0,-1,0,2,2,3,2,3,3,3,3,3,3,3,3,0,3,0,1,3,3,0,1,0,0,0,3,2,3,3,2,3,3,3,2,3,3,3,0,3,2,0,3,3,2,3,3,3,3,2,3,3,0,2,3,2,0,3,3,3,3,3,3,3,3,3,3,1,3,2,0,3,3,3,3,2,3,3,2,3,2,3,3,3,2,2,2,0,0,3,3,1,3,3,3,3,3,3,3,3,2,2,3,3,3,0,3,2,3,0,2,2,3,2,3,3,0,2,3,3,3,2,0,1,2,0,3,3,3,3,2,3,0,3,3,3,3,3,0,2,2,0,3,3,3,2,3,3,2,3,0,3,2,3,3,3,3,2,0,0,2,3,2,0,3,3,3,3,2,3,3,2,2,3,3,1,3,3,3,3,2,3,3,3,0,3,2,2
BEN,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,2,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,3,0,0,2,0,2,3,0,2,0,0,0,2,3,0,0,0,3,0,0,0,0,2,0,0,0,3,2,0,0,3,3,3,3,0,0,0,0,0,3,0,0,3,0,3,1,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,3,0,2,0,1,2,0,0,0,2,0,0,0,2,2,0,0,0,3,0,0,0,0,2,2,3,2,3,2,3,3,2,0,0,2,0,0,0,0,0,0,3,2,0,0,0,0,0,0,2,0,0,3,0,0,3,3,0,3,0,0,2,0,0,0,2,0,0,0,0,2,0,2,3,0,0,0,2,0,0,3,0,2,0,2,2,0,0,0,0,0,3,0,0,0,2,0,0,3,0,0
BFA,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,3,0,0,0,0,0,0,2,0,3,0,0,0,3,0,0,0,0,3,0,0,2,0,2,3,0,2,0,0,0,2,3,0,0,0,3,0,0,0,0,2,0,0,0,3,2,0,0,3,3,3,3,0,0,0,0,0,3,0,0,3,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,3,0,2,0,1,2,0,0,0,2,0,0,0,2,2,0,0,0,3,0,0,0,0,2,2,2,2,0,2,3,3,2,0,0,2,0,0,0,0,0,0,3,2,0,0,0,0,0,0,2,0,0,2,0,0,3,3,0,3,0,0,2,0,0,0,2,0,0,0,0,2,0,3,3,0,0,0,2,0,0,3,0,2,2,2,2,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0
