Passport,Destination,Code
AFG,ALB,VR
AFG,DZA,VR
AFG,AND,VR
AFG,AGO,VR
AFG,ATG,VR
AFG,ARG,VR
AFG,ARM,VR
AFG,AUS,VR
AFG,AUT,VR
AFG,AZE,VR
AFG,BHS,VR
AFG,BHR,VR
AFG,BGD,ETA
AFG,BRB,VR
AFG,BLR,VR
AFG,BEL,VR
AFG,BLZ,VR
AFG,BEN,VR
AFG,BTN,VR
AFG,BOL,ETA
AFG,BIH,VR
AFG,BWA,VR
AFG,BRA,VR
AFG,BRN,VR
AFG,BGR,VR
AFG,BFA,VR
AFG,BDI,VR
AFG,KHM,ETA
AFG,CMR,VR
AFG,CAN,VR
AFG,CPV,ETA
AFG,CAF,VR
AFG,TCD,VR
AFG,CHL,VR
AFG,CHN,VR
AFG,COL,VR
AFG,COM,ETA
AFG,COG,VR
AFG,COD,VR
AFG,CRI,VR
AFG,CIV,VOA
AFG,HRV,VR
AFG,CUB,VR
AFG,CYP,VR
AFG,CZE,VR
AFG,DNK,VR
AFG,DJI,ETA
AFG,DMA,21
AFG,DOM,VR
AFG,ECU,VR
AFG,EGY,VR
AFG,SLV,VR
AFG,GNQ,VR
AFG,ERI,VR
AFG,EST,VR
AFG,SWZ,VR
AFG,ETH,ETA
AFG,FJI,VR
AFG,FIN,VR
AFG,FRA,VR
AFG,GAB,ETA
AFG,GMB,VR
AFG,GEO,VR
AFG,DEU,VR
AFG,GHA,VR
AFG,GRC,VR
AFG,GRD,VR
AFG,GTM,VR
AFG,GIN,ETA
AFG,GNB,ETA
AFG,GUY,VR
AFG,HTI,90
AFG,HND,VR
AFG,HKG,VR
AFG,HUN,VR
AFG,ISL,VR
AFG,IND,VR
AFG,IDN,VR
AFG,IRN,VR
AFG,IRQ,VR
AFG,IRL,VR
AFG,ISR,VR
AFG,ITA,VR
AFG,JAM,VR
AFG,JPN,VR
AFG,JOR,VR
AFG,KAZ,VR
AFG,KEN,VR
AFG,KIR,VR
AFG,XKX,VR
AFG,KWT,VR
AFG,KGZ,VR
AFG,LAO,VR
AFG,LVA,VR
AFG,LBN,VR
AFG,LSO,ETA
AFG,LBR,VR
AFG,LBY,VR
AFG,LIE,VR
AFG,LTU,VR
AFG,LUX,VR
AFG,MAC,ETA
AFG,MDG,ETA
AFG,MWI,ETA
AFG,MYS,VR
AFG,MDV,ETA
AFG,MLI,VR
AFG,MLT,VR
AFG,MHL,VR
AFG,MRT,ETA
AFG,MUS,VR
AFG,MEX,VR
AFG,FSM,30
AFG,MDA,VR
AFG,MCO,VR
AFG,MNG,VR
AFG,MNE,VR
AFG,MAR,VR
AFG,MOZ,ETA
AFG,MMR,VR
AFG,NAM,VR
AFG,NRU,VR
AFG,NPL,VR
AFG,NLD,VR
AFG,NZL,VR
AFG,NIC,VR
AFG,NER,VR
AFG,NGA,ETA
AFG,PRK,VR
AFG,MKD,VR
AFG,NOR,VR
AFG,OMN,VR
AFG,PAK,VR
AFG,PLW,ETA
AFG,PSE,VR
AFG,PAN,VR
AFG,PNG,VR
AFG,PRY,VR
AFG,PER,VR
AFG,PHL,VR
AFG,POL,VR
AFG,PRT,VR
AFG,QAT,ETA
AFG,ROU,VR
AFG,RUS,VR
AFG,RWA,ETA
AFG,KNA,VR
AFG,LCA,VR
AFG,WSM,ETA
AFG,SMR,VR
AFG,STP,VR
AFG,SAU,VR
AFG,SEN,ETA
AFG,SRB,VR
AFG,SYC,ETA
AFG,SLE,VR
AFG,SGP,VR
AFG,SVK,VR
AFG,SVN,VR
AFG,SLB,VR
AFG,SOM,ETA
AFG,ZAF,VR
AFG,KOR,VR
