Passport,AL,DZ,AD,AO,AG,AR,AM,AU,AT,AZ,BS,BH,BD,BB,BY,BE,BZ,BJ,BT,BO,BA,BW,BR,BN,BG,BF,BI,KH,CM,CA,CV,CF,TD,CL,CN,CO,KM,CG,CD,CR,CI,HR,CU,CY,CZ,DK,DJ,DM,DO,EC,EG,SV,GQ,ER,EE,SZ,ET,FJ,FI,FR,GA,GM,GE,DE,GH,GR,GD,GT,GN,GW,GY,HT,HN,HK,HU,IS,IN,ID,IR,IQ,IE,IL,IT,JM,JP,JO,KZ,KE,KI,XK,KW,KG,LA,LV,LB,LS,LR,LY,LI,LT,LU,MO,MG,MW,MY,MV,ML,MT,MH,MR,MU,MX,FM,MD,MC,MN,ME,MA,MZ,MM,NA,NR,NP,NL,NZ,NI,NE,NG,KP,MK,NO,OM,PK,PW,PS,PA,PG,PY,PE,PH,PL,PT,QA,RO,RU,RW,KN,LC,WS,SM,ST,SA,SN,RS,SC,SL,SG,SK,SI,SB,SO,ZA,KR,SS,ES,LK,VC,SD,SR,SE,CH,SY,TW,TJ,TZ,TH,TL,TG,TO,TT,TN,TR,TM,TV,UG,UA,AE,GB,US,UY,UZ,VU,VA,VE,VN,YE,ZM,ZW,AF
AF,e-visa,visa required,covid ban,visa on arrival,e-visa,covid ban,visa required,covid ban,covid ban,covid ban,visa required,covid ban,covid ban,visa required,visa required,covid ban,visa required,e-visa,visa required,visa on arrival,visa required,visa required,visa required,covid ban,covid ban,visa required,visa required,covid ban,covid ban,covid ban,visa on arrival,visa required,visa required,visa required,visa required,e-visa,visa on arrival,visa required,visa required,visa required,e-visa,visa required,visa required,covid ban,covid ban,covid ban,e-visa,21,visa required,visa required,visa required,visa required,visa required,visa required,covid ban,visa required,e-visa,covid ban,covid ban,covid ban,e-visa,visa required,covid ban,covid ban,visa required,covid ban,visa required,visa required,e-visa,visa on arrival,visa on arrival,90,visa required,covid ban,covid ban,covid ban,covid ban,covid ban,visa required,visa required,visa required,covid ban,covid ban,visa required,covid ban,visa required,covid ban,visa required,visa required,visa required,visa required,e-visa,covid ban,covid ban,visa required,e-visa,visa required,visa required,covid ban,covid ban,covid ban,covid ban,visa on arrival,e-visa,covid ban,visa on arrival,visa required,covid ban,covid ban,visa on arrival,covid ban,visa required,covid ban,e-visa,covid ban,covid ban,visa required,visa required,visa on arrival,visa required,visa required,visa required,covid ban,covid ban,covid ban,visa required,visa required,visa on arrival,visa required,visa required,covid ban,covid ban,visa required,visa on arrival,visa required,visa required,covid ban,visa required,visa required,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,visa on arrival,e-visa,visa required,visa on arrival,covid ban,e-visa,visa required,visa on arrival,visa required,90,visa required,e-visa,visa required,visa required,covid ban,visa on arrival,visa required,covid ban,e-visa,covid ban,visa required,30,visa required,e-visa,covid ban,covid ban,visa required,covid ban,e-visa,e-visa,covid ban,covid ban,visa on arrival,visa required,visa required,visa required,visa required,covid ban,visa on arrival,visa on arrival,visa required,e-visa,visa required,visa required,covid ban,e-visa,visa required,covid ban,visa required,covid ban,visa required,e-visa,e-visa,-1
AL,-1,visa required,covid ban,visa on arrival,180,covid ban,180,covid ban,covid ban,covid ban,visa required,covid ban,covid ban,28,30,covid ban,visa required,e-visa,visa required,visa on arrival,90,visa required,90,covid ban,90,visa required,visa required,covid ban,covid ban,covid ban,visa on arrival,visa required,visa required,90,visa required,90,visa on arrival,visa required,visa required,visa required,e-visa,90,visa required,covid ban,covid ban,covid ban,e-visa,21,visa required,90,visa on arrival,90,visa required,visa required,covid ban,visa required,e-visa,covid ban,covid ban,covid ban,e-visa,90,covid ban,covid ban,visa required,covid ban,visa required,visa required,e-visa,visa on arrival,90,90,visa required,covid ban,covid ban,covid ban,covid ban,covid ban,e-visa,visa required,visa required,covid ban,covid ban,visa on arrival,covid ban,visa required,covid ban,visa on arrival,visa required,90,visa required,visa on arrival,covid ban,covid ban,visa required,e-visa,visa required,visa required,covid ban,covid ban,covid ban,covid ban,visa on arrival,visa on arrival,covid ban,visa on arrival,visa required,covid ban,covid ban,visa on arrival,covid ban,visa required,covid ban,90,covid ban,covid ban,90,visa required,visa on arrival,e-visa,visa required,visa required,visa on arrival,covid ban,covid ban,visa required,visa required,visa on arrival,visa required,90,covid ban,covid ban,e-visa,visa on arrival,visa free,visa required,covid ban,visa required,visa required,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,visa on arrival,e-visa,visa required,visa on arrival,covid ban,e-visa,visa required,visa on arrival,90,90,visa required,30,90,90,covid ban,visa on arrival,visa required,30,e-visa,covid ban,e-visa,30,visa required,e-visa,covid ban,covid ban,visa required,covid ban,e-visa,visa on arrival,covid ban,covid ban,visa on arrival,visa required,30,visa required,90,covid ban,visa on arrival,visa on arrival,90,e-visa,visa required,visa required,covid ban,e-visa,visa required,covid ban,visa required,covid ban,visa required,visa on arrival,visa on arrival,visa required
DZ,e-visa,-1,covid ban,visa on arrival,e-visa,covid ban,visa required,covid ban,covid ban,covid ban,visa required,covid ban,covid ban,visa required,visa required,covid ban,visa required,90,visa required,visa on arrival,visa required,visa required,visa required,covid ban,covid ban,visa required,visa required,covid ban,covid ban,covid ban,visa on arrival,visa required,visa required,visa required,visa required,e-visa,visa on arrival,visa required,visa required,visa required,e-visa,visa required,visa required,covid ban,covid ban,covid ban,e-visa,21,visa required,90,visa required,visa required,visa required,visa required,covid ban,visa required,visa on arrival,covid ban,covid ban,covid ban,e-visa,90,covid ban,covid ban,visa on arrival,covid ban,visa required,visa required,visa free,visa on arrival,visa on arrival,90,visa required,covid ban,covid ban,covid ban,covid ban,covid ban,e-visa,visa required,visa required,covid ban,covid ban,visa required,covid ban,visa on arrival,covid ban,visa on arrival,visa required,visa required,visa required,e-visa,covid ban,covid ban,visa on arrival,e-visa,visa required,visa required,covid ban,covid ban,covid ban,covid ban,visa on arrival,e-visa,covid ban,visa on arrival,30,covid ban,covid ban,90,covid ban,visa required,covid ban,e-visa,covid ban,covid ban,visa required,90,visa on arrival,e-visa,visa required,visa required,visa on arrival,covid ban,covid ban,visa on arrival,visa required,visa on arrival,visa required,visa required,covid ban,covid ban,visa required,visa on arrival,visa free,visa required,covid ban,visa required,visa required,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,visa on arrival,e-visa,visa required,visa on arrival,covid ban,e-visa,visa required,visa on arrival,visa required,90,visa required,e-visa,visa required,visa required,covid ban,visa on arrival,visa required,covid ban,e-visa,covid ban,e-visa,30,visa required,e-visa,covid ban,covid ban,visa free,covid ban,visa on arrival,visa on arrival,covid ban,covid ban,visa on arrival,visa required,visa required,visa free,visa required,covid ban,visa on arrival,visa on arrival,visa required,e-visa,visa required,visa required,covid ban,e-visa,visa required,covid ban,visa required,covid ban,visa on arrival,e-visa,visa on arrival,visa required
AD,90,visa required,-1,visa on arrival,180,covid ban,180,covid ban,90,covid ban,90,covid ban,covid ban,visa required,30,covid ban,visa free,e-visa,visa required,90,90,visa required,90,covid ban,90,visa required,visa required,covid ban,covid ban,covid ban,30,visa required,visa required,90,visa required,90,visa on arrival,visa required,visa required,90,e-visa,90,visa required,covid ban,90,covid ban,e-visa,21,visa free,90,visa on arrival,90,visa required,visa required,90,30,e-visa,covid ban,covid ban,90,e-visa,90,covid ban,90,visa required,covid ban,visa required,90,e-visa,visa on arrival,visa on arrival,90,90,covid ban,covid ban,90,covid ban,covid ban,e-visa,visa required,visa free,covid ban,covid ban,visa on arrival,covid ban,visa on arrival,covid ban,visa on arrival,visa required,90,e-visa,visa on arrival,covid ban,covid ban,visa on arrival,e-visa,visa required,visa required,90,90,90,covid ban,visa on arrival,visa on arrival,covid ban,visa on arrival,visa required,90,covid ban,visa on arrival,covid ban,180,covid ban,90,90,covid ban,90,90,visa on arrival,visa required,visa required,visa required,visa on arrival,90,covid ban,90,visa required,visa on arrival,visa required,90,covid ban,covid ban,e-visa,visa on arrival,visa free,180,covid ban,90,180,covid ban,90,90,covid ban,90,covid ban,visa on arrival,e-visa,42,visa on arrival,covid ban,15,e-visa,visa on arrival,90,90,visa required,30,90,90,covid ban,visa on arrival,90,30,e-visa,90,e-visa,30,visa required,e-visa,90,90,visa required,covid ban,visa on arrival,visa on arrival,30,covid ban,visa on arrival,visa required,visa required,90,90,covid ban,visa on arrival,visa on arrival,90,visa on arrival,180,e-visa,covid ban,30,30,90,90,covid ban,visa required,visa on arrival,visa on arrival,visa required
AO,e-visa,visa required,covid ban,-1,e-visa,covid ban,visa required,covid ban,covid ban,covid ban,visa required,covid ban,covid ban,visa required,visa required,covid ban,visa required,90,visa required,visa on arrival,visa required,90,visa required,covid ban,covid ban,visa required,visa required,covid ban,covid ban,covid ban,visa free,visa required,visa required,visa required,visa required,e-visa,visa on arrival,visa required,visa required,visa required,e-visa,visa required,visa required,covid ban,covid ban,covid ban,e-visa,21,visa required,e-visa,visa required,visa required,visa required,visa required,covid ban,visa required,visa on arrival,covid ban,covid ban,covid ban,e-visa,90,covid ban,covid ban,visa on arrival,covid ban,visa required,visa required,e-visa,visa on arrival,visa on arrival,90,visa required,covid ban,covid ban,covid ban,covid ban,covid ban,e-visa,visa required,visa required,covid ban,covid ban,visa required,covid ban,visa required,covid ban,visa on arrival,visa required,visa required,visa required,e-visa,covid ban,covid ban,visa required,e-visa,visa required,visa required,covid ban,covid ban,covid ban,covid ban,visa on arrival,e-visa,covid ban,visa on arrival,visa required,covid ban,covid ban,visa on arrival,covid ban,visa required,covid ban,e-visa,covid ban,covid ban,visa required,visa required,30,visa required,90,visa required,visa on arrival,covid ban,covid ban,visa on arrival,visa required,visa on arrival,visa required,visa required,covid ban,covid ban,visa on arrival,visa on arrival,visa required,180,covid ban,visa required,visa required,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,90,e-visa,visa required,visa on arrival,covid ban,visa free,visa required,visa on arrival,visa required,90,visa required,30,visa required,visa required,covid ban,visa on arrival,30,covid ban,e-visa,covid ban,e-visa,30,visa required,e-visa,covid ban,covid ban,visa required,covid ban,e-visa,visa on arrival,covid ban,covid ban,visa on arrival,visa required,visa required,90,visa required,covid ban,visa on arrival,90,visa required,e-visa,visa required,visa required,covid ban,e-visa,visa required,covid ban,visa required,covid ban,visa required,30,90,visa required
AG,90,visa required,covid ban,visa on arrival,-1,covid ban,e-visa,covid ban,covid ban,covid ban,240,covid ban,covid ban,visa free,30,covid ban,visa free,e-visa,visa required,visa on arrival,90,90,90,covid ban,covid ban,visa required,visa required,covid ban,covid ban,covid ban,visa on arrival,visa required,visa required,90,visa required,90,visa on arrival,visa required,visa required,90,e-visa,90,30,covid ban,covid ban,covid ban,e-visa,visa free,visa free,90,visa on arrival,90,visa required,visa required,covid ban,30,e-visa,covid ban,covid ban,covid ban,e-visa,90,covid ban,covid ban,visa required,covid ban,visa free,90,e-visa,visa on arrival,180,90,90,covid ban,covid ban,covid ban,covid ban,covid ban,e-visa,visa required,visa free,covid ban,covid ban,e-visa,covid ban,visa on arrival,covid ban,visa on arrival,120,90,visa required,e-visa,covid ban,covid ban,visa on arrival,90,visa required,visa required,covid ban,covid ban,covid ban,covid ban,visa on arrival,90,covid ban,visa on arrival,visa required,covid ban,covid ban,visa on arrival,covid ban,visa required,covid ban,90,covid ban,covid ban,90,visa required,visa on arrival,visa required,visa required,visa required,visa on arrival,covid ban,covid ban,90,visa required,visa on arrival,visa required,90,covid ban,covid ban,e-visa,visa on arrival,visa free,180,covid ban,visa required,180,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,visa on arrival,visa free,visa free,visa on arrival,covid ban,e-visa,visa required,visa on arrival,90,90,visa on arrival,30,90,90,covid ban,visa on arrival,30,covid ban,e-visa,covid ban,e-visa,visa free,visa required,90,covid ban,covid ban,visa required,covid ban,e-visa,90,covid ban,covid ban,visa on arrival,visa required,visa free,90,e-visa,covid ban,visa on arrival,90,90,e-visa,180,visa required,covid ban,30,30,covid ban,90,covid ban,visa required,90,90,visa required
AR,90,visa required,covid ban,visa on arrival,180,-1,visa free,covid ban,covid ban,covid ban,90,covid ban,covid ban,visa free,30,covid ban,90,e-visa,visa required,90,90,90,90,covid ban,covid ban,visa on arrival,visa required,covid ban,covid ban,covid ban,visa on arrival,visa required,visa required,90,visa required,90,visa on arrival,visa required,visa required,90,e-visa,90,visa required,covid ban,covid ban,covid ban,e-visa,180,visa free,90,visa on arrival,90,visa required,visa required,covid ban,30,visa on arrival,covid ban,covid ban,covid ban,visa on arrival,visa required,covid ban,covid ban,visa required,covid ban,30,90,e-visa,visa on arrival,90,90,90,covid ban,covid ban,covid ban,covid ban,covid ban,e-visa,visa required,visa free,covid ban,covid ban,e-visa,covid ban,visa on arrival,covid ban,visa on arrival,visa required,90,visa required,visa required,covid ban,covid ban,visa on arrival,e-visa,visa required,visa required,covid ban,covid ban,covid ban,covid ban,visa on arrival,visa on arrival,covid ban,visa on arrival,visa required,covid ban,covid ban,visa on arrival,covid ban,180,covid ban,90,covid ban,covid ban,90,90,visa on arrival,e-visa,visa required,visa required,visa on arrival,covid ban,covid ban,90,visa required,visa on arrival,visa required,90,covid ban,covid ban,visa on arrival,visa on arrival,visa free,180,covid ban,90,180,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,visa on arrival,90,42,visa on arrival,covid ban,e-visa,visa required,visa on arrival,90,90,visa required,30,90,90,covid ban,visa on arrival,90,covid ban,e-visa,covid ban,e-visa,30,visa required,90,covid ban,covid ban,visa required,covid ban,visa on arrival,visa on arrival,90,covid ban,visa on arrival,visa required,90,90,90,covid ban,visa on arrival,visa on arrival,90,90,180,visa required,covid ban,30,30,covid ban,90,covid ban,visa required,visa on arrival,visa on arrival,visa required
AM,90,visa required,covid ban,visa on arrival,180,covid ban,-1,covid ban,covid ban,covid ban,90,covid ban,covid ban,28,visa free,covid ban,visa required,e-visa,visa required,visa on arrival,visa required,visa required,90,covid ban,covid ban,visa required,visa required,covid ban,covid ban,covid ban,visa on arrival,visa required,visa required,visa required,visa required,e-visa,visa on arrival,visa required,visa required,visa required,e-visa,visa required,visa required,covid ban,covid ban,covid ban,e-visa,21,visa required,90,visa required,visa required,visa required,visa required,covid ban,visa required,e-visa,covid ban,covid ban,covid ban,e-visa,90,covid ban,covid ban,visa required,covid ban,visa required,visa required,e-visa,visa on arrival,visa on arrival,90,visa required,covid ban,covid ban,covid ban,covid ban,covid ban,90,visa required,visa required,covid ban,covid ban,visa on arrival,covid ban,visa on arrival,covid ban,visa required,visa required,visa required,visa required,visa free,covid ban,covid ban,visa on arrival,e-visa,visa required,visa required,covid ban,covid ban,covid ban,covid ban,visa on arrival,visa on arrival,covid ban,visa on arrival,visa required,covid ban,covid ban,visa on arrival,covid ban,visa required,covid ban,90,covid ban,covid ban,visa required,visa required,visa on arrival,visa required,90,visa required,visa on arrival,covid ban,covid ban,visa required,visa required,visa on arrival,visa required,visa required,covid ban,covid ban,visa required,visa on arrival,visa free,180,covid ban,visa required,visa required,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,visa on arrival,e-visa,visa required,visa on arrival,covid ban,e-visa,visa required,visa on arrival,90,90,visa on arrival,e-visa,visa required,visa required,covid ban,visa on arrival,visa required,covid ban,e-visa,covid ban,e-visa,30,visa required,e-visa,covid ban,covid ban,visa required,covid ban,90,visa on arrival,covid ban,covid ban,visa on arrival,visa required,visa required,visa required,e-visa,covid ban,visa on arrival,visa on arrival,visa free,e-visa,visa required,visa required,covid ban,visa free,visa required,covid ban,visa required,covid ban,visa required,e-visa,visa on arrival,visa required
AU,90,visa required,90,visa on arrival,180,covid ban,180,-1,covid ban,covid ban,90,covid ban,covid ban,180,30,covid ban,visa free,e-visa,visa required,90,90,90,90,covid ban,90,visa on arrival,visa required,covid ban,covid ban,covid ban,visa on arrival,visa required,visa required,e-visa,visa required,90,visa on arrival,visa required,visa required,90,e-visa,90,visa required,90,90,covid ban,e-visa,180,visa free,90,visa on arrival,90,visa required,visa required,90,30,visa on arrival,covid ban,90,90,visa on arrival,90,covid ban,90,visa required,90,90,90,e-visa,visa on arrival,90,90,90,covid ban,covid ban,90,covid ban,covid ban,e-visa,visa required,visa free,covid ban,90,e-visa,covid ban,visa on arrival,covid ban,visa on arrival,120,90,e-visa,60,covid ban,covid ban,visa on arrival,visa free,visa required,visa required,90,90,90,covid ban,visa on arrival,visa on arrival,covid ban,visa on arrival,visa required,90,covid ban,visa on arrival,covid ban,180,covid ban,90,90,covid ban,90,90,visa on arrival,visa on arrival,90,visa required,visa on arrival,90,covid ban,90,visa required,visa on arrival,visa required,90,covid ban,covid ban,e-visa,visa on arrival,visa free,180,covid ban,visa on arrival,180,covid ban,90,90,covid ban,90,covid ban,visa on arrival,90,42,visa on arrival,90,e-visa,e-visa,visa on arrival,90,90,visa on arrival,90,90,90,covid ban,visa on arrival,90,covid ban,e-visa,covid ban,e-visa,30,visa required,e-visa,covid ban,90,visa required,covid ban,visa on arrival,visa on arrival,30,covid ban,visa on arrival,visa on arrival,visa on arrival,90,e-visa,covid ban,visa on arrival,visa on arrival,90,visa on arrival,180,e-visa,covid ban,30,30,90,90,covid ban,visa required,visa on arrival,visa on arrival,visa required
AT,90,visa required,visa free,visa on arrival,180,covid ban,180,covid ban,-1,covid ban,90,covid ban,covid ban,90,30,covid ban,visa free,e-visa,visa required,90,90,90,90,covid ban,visa free,visa on arrival,visa required,covid ban,covid ban,covid ban,30,visa required,visa required,90,visa required,90,visa on arrival,visa required,visa required,90,e-visa,90,visa required,covid ban,visa free,covid ban,e-visa,180,visa free,90,visa on arrival,90,visa required,visa required,visa free,30,visa on arrival,covid ban,visa free,visa free,visa on arrival,90,360,visa free,visa required,visa free,90,90,e-visa,visa on arrival,90,90,90,covid ban,covid ban,visa free,covid ban,covid ban,e-visa,visa required,visa free,covid ban,visa free,e-visa,covid ban,visa on arrival,covid ban,visa on arrival,120,90,e-visa,60,covid ban,visa free,visa on arrival,visa free,visa required,visa required,visa free,visa free,visa free,covid ban,visa on arrival,visa on arrival,covid ban,visa on arrival,visa required,visa free,covid ban,visa on arrival,covid ban,180,covid ban,90,visa free,covid ban,90,90,visa on arrival,e-visa,90,visa required,visa on arrival,visa free,covid ban,90,visa required,visa on arrival,visa required,90,covid ban,covid ban,visa on arrival,90,visa free,180,covid ban,90,90,covid ban,visa free,visa free,covid ban,visa free,covid ban,visa on arrival,90,90,90,visa free,15,e-visa,90,90,90,visa on arrival,90,visa free,visa free,covid ban,visa on arrival,90,covid ban,e-visa,visa free,e-visa,90,visa required,e-visa,visa free,visa free,visa required,covid ban,visa on arrival,visa on arrival,30,covid ban,visa on arrival,90,90,90,90,covid ban,90,visa on arrival,90,90,180,e-visa,covid ban,30,90,visa free,90,covid ban,visa required,visa on arrival,visa on arrival,visa required
