Passport,Destination,Requirement
Afghanistan,Albania,e-visa
Afghanistan,Algeria,visa required
Afghanistan,Andorra,covid ban
Afghanistan,Angola,visa on arrival
Afghanistan,Antigua and Barbuda,e-visa
Afghanistan,Argentina,covid ban
Afghanistan,Armenia,visa required
Afghanistan,Australia,covid ban
Afghanistan,Austria,covid ban
Afghanistan,Azerbaijan,covid ban
Afghanistan,Bahamas,visa required
Afghanistan,Bahrain,covid ban
Afghanistan,Bangladesh,covid ban
Afghanistan,Barbados,visa required
Afghanistan,Belarus,visa required
Afghanistan,Belgium,covid ban
Afghanistan,Belize,visa required
Afghanistan,Benin,e-visa
Afghanistan,Bhutan,visa required
Afghanistan,Bolivia,visa on arrival
Afghanistan,Bosnia and Herzegovina,visa required
Afghanistan,Botswana,visa required
Afghanistan,Brazil,visa required
Afghanistan,Brunei,covid ban
Afghanistan,Bulgaria,covid ban
Afghanistan,Burkina Faso,visa required
Afghanistan,Burundi,visa required
Afghanistan,Cambodia,covid ban
Afghanistan,Cameroon,covid ban
Afghanistan,Canada,covid ban
Afghanistan,Cape Verde,visa on arrival
Afghanistan,Central African Republic,visa required
Afghanistan,Chad,visa required
Afghanistan,Chile,covid ban
Afghanistan,China,visa required
Afghanistan,Colombia,e-visa
Afghanistan,Comoros,visa on arrival
Afghanistan,Congo,visa required
Afghanistan,DR Congo,visa required
Afghanistan,Costa Rica,visa required
Afghanistan,Ivory Coast,e-visa
Afghanistan,Croatia,visa required
Afghanistan,Cuba,visa required
Afghanistan,Cyprus,covid ban
Afghanistan,Czech Republic,covid ban
Afghanistan,Denmark,covid ban
Afghanistan,Djibouti,e-visa
Afghanistan,Dominica,21
Afghanistan,Dominican Republic,visa required
Afghanistan,Ecuador,visa required
Afghanistan,Egypt,visa required
Afghanistan,El Salvador,visa required
Afghanistan,Equatorial Guinea,visa required
Afghanistan,Eritrea,visa required
Afghanistan,Estonia,covid ban
Afghanistan,Swaziland,visa required
Afghanistan,Ethiopia,e-visa
Afghanistan,Fiji,covid ban
Afghanistan,Finland,covid ban
Afghanistan,France,covid ban
Afghanistan,Gabon,e-visa
Afghanistan,Gambia,visa required
Afghanistan,Georgia,visa required
Afghanistan,Germany,covid ban
Afghanistan,Ghana,visa required
Afghanistan,Greece,covid ban
Afghanistan,Grenada,visa required
Afghanistan,Guatemala,visa required
Afghanistan,Guinea,e-visa
Afghanistan,Guinea-Bissau,visa on arrival
Afghanistan,Guyana,visa on arrival
Afghanistan,Haiti,90
Afghanistan,Honduras,visa required
Afghanistan,Hong Kong,covid ban
Afghanistan,Hungary,covid ban
Afghanistan,Iceland,covid ban
Afghanistan,India,covid ban
Afghanistan,Indonesia,covid ban
Afghanistan,Iran,visa required
Afghanistan,Iraq,visa required
Afghanistan,Ireland,visa required
Afghanistan,Israel,covid ban
Afghanistan,Italy,covid ban
Afghanistan,Jamaica,visa required
Afghanistan,Japan,covid ban
Afghanistan,Jordan,visa required
Afghanistan,Kazakhstan,covid ban
Afghanistan,Kenya,visa required
Afghanistan,Kiribati,visa required
Afghanistan,Kosovo,visa required
Afghanistan,Kuwait,covid ban
Afghanistan,Kyrgyzstan,e-visa
Afghanistan,Laos,covid ban
Afghanistan,Latvia,covid ban
Afghanistan,Lebanon,visa required
Afghanistan,Lesotho,e-visa
Afghanistan,Liberia,visa required
Afghanistan,Libya,visa required
Afghanistan,Liechtenstein,covid ban
Afghanistan,Lithuania,covid ban
Afghanistan,Luxembourg,covid ban
Afghanistan,Macao,covid ban
Afghanistan,Madagascar,visa on arrival
Afghanistan,Malawi,e-visa
Afghanistan,Malaysia,covid ban
Afghanistan,Maldives,visa on arrival
Afghanistan,Mali,visa required
Afghanistan,Malta,covid ban
Afghanistan,Marshall Islands,covid ban
Afghanistan,Mauritania,visa on arrival
Afghanistan,Mauritius,covid ban
Afghanistan,Mexico,visa required
Afghanistan,Micronesia,covid ban
Afghanistan,Moldova,e-visa
Afghanistan,Monaco,covid ban
Afghanistan,Mongolia,covid ban
Afghanistan,Montenegro,visa required
Afghanistan,Morocco,visa required
Afghanistan,Mozambique,visa on arrival
Afghanistan,Myanmar,visa required
Afghanistan,Namibia,visa required
Afghanistan,Nauru,visa required
Afghanistan,Nepal,covid ban
Afghanistan,Netherlands,covid ban
Afghanistan,New Zealand,covid ban
Afghanistan,Nicaragua,visa required
Afghanistan,Niger,visa required
Afghanistan,Nigeria,visa on arrival
Afghanistan,North Korea,visa required
Afghanistan,North Macedonia,visa required
Afghanistan,Norway,covid ban
Afghanistan,Oman,covid ban
Afghanistan,Pakistan,visa required
Afghanistan,Palau,visa on arrival
Afghanistan,Palestine,visa required
Afghanistan,Panama,visa required
Afghanistan,Papua New Guinea,covid ban
Afghanistan,Paraguay,visa required
Afghanistan,Peru,visa required
Afghanistan,Philippines,covid ban
Afghanistan,Poland,covid ban
Afghanistan,Portugal,covid ban
Afghanistan,Qatar,covid ban
Afghanistan,Romania,covid ban
Afghanistan,Russia,covid ban
Afghanistan,Rwanda,visa on arrival
Afghanistan,Saint Kitts and Nevis,e-visa
Afghanistan,Saint Lucia,visa required
Afghanistan,Samoa,visa on arrival
Afghanistan,San Marino,covid ban
Afghanistan,Sao Tome and Principe,e-visa
Afghanistan,Saudi Arabia,visa required
Afghanistan,Senegal,visa on arrival
Afghanistan,Serbia,visa required
Afghanistan,Seychelles,90
Afghanistan,Sierra Leone,visa required
Afghanistan,Singapore,e-visa
Afghanistan,Slovakia,visa required
Afghanistan,Slovenia,visa required
Afghanistan,Solomon Islands,covid ban
Afghanistan,Somalia,visa on arrival
Afghanistan,South Africa,visa required
Afghanistan,South Korea,covid ban
Afghanistan,South Sudan,e-visa
Afghanistan,Spain,covid ban
Afghanistan,Sri Lanka,visa required
Afghanistan,Saint Vincent and the Grenadines,30
Afghanistan,Sudan,visa required
Afghanistan,Suriname,e-visa
Afghanistan,Sweden,covid ban
Afghanistan,Switzerland,covid ban
Afghanistan,Syria,visa required
Afghanistan,Taiwan,covid ban
Afghanistan,Tajikistan,e-visa
Afghanistan,Tanzania,e-visa
Afghanistan,Thailand,covid ban
Afghanistan,Timor-Leste,covid ban
Afghanistan,Togo,visa on arrival
Afghanistan,Tonga,visa required
Afghanistan,Trinidad and Tobago,visa required
Afghanistan,Tunisia,visa required
Afghanistan,Turkey,visa required
Afghanistan,Turkmenistan,covid ban
Afghanistan,Tuvalu,visa on arrival
Afghanistan,Uganda,visa on arrival
Afghanistan,Ukraine,visa required
Afghanistan,United Arab Emirates,e-visa
Afghanistan,United Kingdom,visa required
Afghanistan,United States,visa required
Afghanistan,Uruguay,covid ban
Afghanistan,Uzbekistan,e-visa
Afghanistan,Vanuatu,visa required
Afghanistan,Vatican,covid ban
Afghanistan,Venezuela,visa required
Afghanistan,Vietnam,covid ban
Afghanistan,Yemen,visa required
Afghanistan,Zambia,e-visa
Afghanistan,Zimbabwe,e-visa
Afghanistan,Afghanistan,-1
Albania,Albania,-1
Albania,Algeria,visa required
Albania,Andorra,covid ban
Albania,Angola,visa on arrival
Albania,Antigua and Barbuda,180
Albania,Argentina,covid ban
Albania,Armenia,180
Albania,Australia,covid ban
Albania,Austria,covid ban
Albania,Azerbaijan,covid ban
Albania,Bahamas,visa required
Albania,Bahrain,covid ban
Albania,Bangladesh,covid ban
Albania,Barbados,28
Albania,Belarus,30
Albania,Belgium,covid ban
Albania,Belize,visa required
Albania,Benin,e-visa
Albania,Bhutan,visa required
Albania,Bolivia,visa on arrival
Albania,Bosnia and Herzegovina,90
Albania,Botswana,visa required
Albania,Brazil,90
Albania,Brunei,covid ban
Albania,Bulgaria,90
Albania,Burkina Faso,visa required
Albania,Burundi,visa required
Albania,Cambodia,covid ban
Albania,Cameroon,covid ban
Albania,Canada,covid ban
