Passport,Destination,Requirement
AFG,ALB,e-visa
AFG,DZA,visa required
AFG,AND,visa required
AFG,AGO,visa on arrival
AFG,ATG,e-visa
AFG,ARG,covid ban
AFG,ARM,visa required
AFG,AUS,covid ban
AFG,AUT,visa required
AFG,AZE,covid ban
AFG,BHS,visa required
AFG,BHR,e-visa
AFG,BGD,covid ban
AFG,BRB,visa required
AFG,BLR,visa required
AFG,BEL,visa required
AFG,BLZ,visa required
AFG,BEN,e-visa
AFG,BTN,visa required
AFG,BOL,visa on arrival
AFG,BIH,visa required
AFG,BWA,visa required
AFG,BRA,visa required
AFG,BRN,covid ban
AFG,BGR,visa required
AFG,BFA,visa required
AFG,BDI,visa required
AFG,KHM,covid ban
AFG,CMR,covid ban
AFG,CAN,visa required
AFG,CPV,visa on arrival
AFG,CAF,visa required
AFG,TCD,visa required
AFG,CHL,visa required
AFG,CHN,visa required
AFG,COL,e-visa
AFG,COM,visa on arrival
AFG,COG,visa required
AFG,COD,visa required
AFG,CRI,visa required
AFG,CIV,e-visa
AFG,HRV,visa required
AFG,CUB,visa required
AFG,CYP,covid ban
AFG,CZE,covid ban
AFG,DNK,covid ban
AFG,DJI,e-visa
AFG,DMA,21
AFG,DOM,visa required
AFG,ECU,visa required
AFG,EGY,visa required
AFG,SLV,visa required
AFG,GNQ,visa required
AFG,ERI,visa required
AFG,EST,visa required
AFG,SWZ,visa required
AFG,ETH,e-visa
AFG,FJI,visa required
AFG,FIN,visa required
AFG,FRA,visa required
AFG,GAB,e-visa
AFG,GMB,visa required
AFG,GEO,visa required
AFG,DEU,visa required
AFG,GHA,visa required
AFG,GRC,covid ban
AFG,GRD,visa required
AFG,GTM,visa required
AFG,GIN,e-visa
AFG,GNB,visa on arrival
AFG,GUY,visa on arrival
AFG,HTI,90
AFG,HND,visa required
AFG,HKG,visa required
AFG,HUN,covid ban
AFG,ISL,visa required
AFG,IND,covid ban
AFG,IDN,covid ban
AFG,IRN,visa required
AFG,IRQ,visa required
AFG,IRL,visa required
AFG,ISR,covid ban
AFG,ITA,covid ban
AFG,JAM,visa required
AFG,JPN,covid ban
AFG,JOR,covid ban
AFG,KAZ,covid ban
AFG,KEN,visa required
