Passport,Destination,Value
AFG,AFG,-1
AFG,ALB,0
AFG,DZA,0
AFG,AND,0
AFG,AGO,0
AFG,ATG,0
AFG,ARG,0
AFG,ARM,0
AFG,AUS,0
AFG,AUT,0
AFG,AZE,0
AFG,BHS,0
AFG,BHR,0
AFG,BGD,1
AFG,BRB,0
AFG,BLR,0
AFG,BEL,0
AFG,BLZ,0
AFG,BEN,0
AFG,BTN,0
AFG,BOL,1
AFG,BIH,0
AFG,BWA,0
AFG,BRA,0
AFG,BRN,0
AFG,BGR,0
AFG,BFA,0
AFG,BDI,0
AFG,KHM,1
AFG,CMR,0
AFG,CAN,0
AFG,CPV,1
AFG,CAF,0
AFG,TCD,0
AFG,CHL,0
AFG,CHN,0
AFG,COL,0
AFG,COM,1
AFG,COG,0
AFG,COD,0
AFG,CRI,0
AFG,CIV,2
AFG,HRV,0
AFG,CUB,0
AFG,CYP,0
AFG,CZE,0
AFG,DNK,0
AFG,DJI,1
AFG,DMA,3
AFG,DOM,0
AFG,ECU,0
AFG,EGY,0
AFG,SLV,0
AFG,GNQ,0
AFG,ERI,0
AFG,EST,0
AFG,SWZ,0
AFG,ETH,1
AFG,FJI,0
AFG,FIN,0
AFG,FRA,0
AFG,GAB,1
AFG,GMB,0
AFG,GEO,0
AFG,DEU,0
AFG,GHA,0
AFG,GRC,0
AFG,GRD,0
AFG,GTM,0
AFG,GIN,0
AFG,GNB,1
AFG,GUY,0
AFG,HTI,3
AFG,HND,0
AFG,HKG,0
AFG,HUN,0
AFG,ISL,0
AFG,IND,0
AFG,IDN,0
AFG,IRN,0
AFG,IRQ,0
AFG,IRL,0
AFG,ISR,0
AFG,ITA,0
AFG,JAM,0
AFG,JPN,0
AFG,JOR,0
AFG,KAZ,0
AFG,KEN,0
AFG,KIR,0
AFG,XKX,0
AFG,KWT,0
AFG,KGZ,0
AFG,LAO,0
AFG,LVA,0
AFG,LBN,0
AFG,LSO,1
AFG,LBR,0
AFG,LBY,0
AFG,LIE,0
AFG,LTU,0
AFG,LUX,0
AFG,MAC,1
AFG,MDG,1
AFG,MWI,0
AFG,MYS,0
AFG,MDV,1
AFG,MLI,0
AFG,MLT,0
AFG,MHL,0
AFG,MRT,1
AFG,MUS,0
AFG,MEX,0
AFG,FSM,3
AFG,MDA,0
AFG,MCO,0
AFG,MNG,0
AFG,MNE,0
AFG,MAR,0
AFG,MOZ,1
AFG,MMR,0
AFG,NAM,0
AFG,NRU,0
AFG,NPL,0
AFG,NLD,0
AFG,NZL,0
AFG,NIC,0
AFG,NER,0
AFG,NGA,0
AFG,PRK,0
AFG,MKD,0
AFG,NOR,0
AFG,OMN,0
AFG,PAK,0
AFG,PLW,1
AFG,PSE,0
AFG,PAN,0
AFG,PNG,0
AFG,PRY,0
AFG,PER,0
AFG,PHL,0
AFG,POL,0
AFG,PRT,0
AFG,QAT,1
AFG,ROU,0
AFG,RUS,0
AFG,RWA,1
AFG,KNA,0
AFG,LCA,0
AFG,WSM,1
AFG,SMR,0
AFG,STP,0
AFG,SAU,0
AFG,SEN,0
AFG,SRB,0
AFG,SYC,1
AFG,SLE,0
AFG,SGP,0
AFG,SVK,0
AFG,SVN,0
AFG,SLB,0
AFG,SOM,1
AFG,ZAF,0
AFG,KOR,0
AFG,SSD,0
AFG,ESP,0
AFG,LKA,0
AFG,VCT,3
AFG,SDN,0
AFG,SUR,0
AFG,SWE,0
AFG,CHE,0
AFG,SYR,0
AFG,TWN,0
AFG,TJK,0
AFG,TZA,0
AFG,THA,0
AFG,TLS,1
AFG,TGO,1
AFG,TON,0
AFG,TTO,0
AFG,TUN,0
AFG,TUR,0
AFG,TKM,0
AFG,TUV,1
AFG,UGA,1
AFG,UKR,0
AFG,ARE,0
AFG,GBR,0
AFG,USA,0
AFG,URY,0
AFG,UZB,0
AFG,VUT,0
AFG,VAT,0
AFG,VEN,0
AFG,VNM,0
AFG,YEM,0
AFG,ZMB,0
AFG,ZWE,0
ALB,AFG,0
ALB,ALB,-1
ALB,DZA,0
ALB,AND,3
ALB,AGO,0
ALB,ATG,3
ALB,ARG,0
ALB,ARM,3
ALB,AUS,0
ALB,AUT,3
ALB,AZE,1
ALB,BHS,0
ALB,BHR,0
ALB,BGD,1
ALB,BRB,3
ALB,BLR,3
ALB,BEL,3
ALB,BLZ,0
ALB,BEN,0
ALB,BTN,0
ALB,BOL,1
ALB,BIH,3
ALB,BWA,0
ALB,BRA,3
ALB,BRN,0
ALB,BGR,3
ALB,BFA,0
ALB,BDI,0
ALB,KHM,1
ALB,CMR,0
ALB,CAN,0
ALB,CPV,1
ALB,CAF,0
ALB,TCD,0
ALB,CHL,3
ALB,CHN,0
ALB,COL,3
ALB,COM,1
ALB,COG,0
ALB,COD,0
ALB,CRI,0
ALB,CIV,2
ALB,HRV,3
ALB,CUB,1
ALB,CYP,3
ALB,CZE,3
ALB,DNK,3
ALB,DJI,1
ALB,DMA,3
ALB,DOM,3
ALB,ECU,3
ALB,EGY,1
ALB,SLV,3
ALB,GNQ,0
ALB,ERI,0
ALB,EST,3
ALB,SWZ,0
ALB,ETH,1
ALB,FJI,0
ALB,FIN,3
ALB,FRA,3
ALB,GAB,1
ALB,GMB,3
ALB,GEO,3
ALB,DEU,3
ALB,GHA,0
ALB,GRC,3
ALB,GRD,0
ALB,GTM,0
ALB,GIN,0
ALB,GNB,1
ALB,GUY,0
ALB,HTI,3
ALB,HND,0
ALB,HKG,3
ALB,HUN,3
ALB,ISL,3
ALB,IND,2
ALB,IDN,3
ALB,IRN,1
ALB,IRQ,0
ALB,IRL,0
ALB,ISR,3
ALB,ITA,3
ALB,JAM,1
ALB,JPN,0
ALB,JOR,0
ALB,KAZ,0
ALB,KEN,1
ALB,KIR,0
ALB,XKX,3
ALB,KWT,0
ALB,KGZ,1
ALB,LAO,1
ALB,LVA,3
ALB,LBN,0
ALB,LSO,1
ALB,LBR,0
ALB,LBY,0
ALB,LIE,3
ALB,LTU,3
ALB,LUX,3
ALB,MAC,3
ALB,MDG,1
ALB,MWI,1
ALB,MYS,3
ALB,MDV,1
ALB,MLI,0
ALB,MLT,3
ALB,MHL,0
ALB,MRT,1
ALB,MUS,1
ALB,MEX,0
ALB,FSM,3
ALB,MDA,3
ALB,MCO,3
ALB,MNG,0
ALB,MNE,3
ALB,MAR,0
ALB,MOZ,1
ALB,MMR,1
ALB,NAM,0
ALB,NRU,0
ALB,NPL,1
ALB,NLD,3
ALB,NZL,0
ALB,NIC,0
ALB,NER,0
ALB,NGA,0
ALB,PRK,0
ALB,MKD,3
ALB,NOR,3
ALB,OMN,1
ALB,PAK,0
ALB,PLW,1
ALB,PSE,3
ALB,PAN,0
ALB,PNG,0
ALB,PRY,0
ALB,PER,0
ALB,PHL,0
ALB,POL,3
ALB,PRT,3
ALB,QAT,1
ALB,ROU,3
ALB,RUS,0
ALB,RWA,1
ALB,KNA,0
ALB,LCA,0
ALB,WSM,1
ALB,SMR,3
ALB,STP,0
ALB,SAU,0
ALB,SEN,0
ALB,SRB,3
ALB,SYC,1
ALB,SLE,0
ALB,SGP,3
ALB,SVK,3
ALB,SVN,3
ALB,SLB,0
ALB,SOM,1
ALB,ZAF,0
ALB,KOR,3
ALB,SSD,0
ALB,ESP,3
ALB,LKA,2
ALB,VCT,3
ALB,SDN,0
ALB,SUR,0
ALB,SWE,3
ALB,CHE,3
ALB,SYR,0
ALB,TWN,0
ALB,TJK,0
ALB,TZA,1
ALB,THA,0
ALB,TLS,1
ALB,TGO,1
ALB,TON,0
ALB,TTO,3
ALB,TUN,0
ALB,TUR,3
ALB,TKM,0
