Passport,AL,DZ,AD,AO,AG,AR,AM,AU,AT,AZ,BS,BH,BD,BB,BY,BE,BZ,BJ,BT,BO,BA,BW,BR,BN,BG,BF,BI,KH,CM,CA,CV,CF,TD,CL,CN,CO,KM,CG,CD,CR,CI,HR,CU,CY,CZ,DK,DJ,DM,DO,EC,EG,SV,GQ,ER,EE,SZ,ET,FJ,FI,FR,GA,GM,GE,DE,GH,GR,GD,GT,GN,GW,GY,HT,HN,HK,HU,IS,IN,ID,IR,IQ,IE,IL,IT,JM,JP,JO,KZ,KE,KI,XK,KW,KG,LA,LV,LB,LS,LR,LY,LI,LT,LU,MO,MG,MW,MY,MV,ML,MT,MH,MR,MU,MX,FM,MD,MC,MN,ME,MA,MZ,MM,NA,NR,NP,NL,NZ,NI,NE,NG,KP,MK,NO,OM,PK,PW,PS,PA,PG,PY,PE,PH,PL,PT,QA,RO,RU,RW,KN,LC,WS,SM,ST,SA,SN,RS,SC,SL,SG,SK,SI,SB,SO,ZA,KR,SS,ES,LK,VC,SD,SR,SE,CH,SY,TW,TJ,TZ,TH,TL,TG,TO,TT,TN,TM,TV,TR,UG,UA,AE,GB,US,UY,UZ,VU,VA,VE,VN,YE,ZM,ZW,AF
AF,e-visa,visa required,visa required,visa required,e-visa,visa required,visa required,e-visa,visa required,visa required,e-visa,e-visa,visa on arrival,visa required,visa required,visa required,visa required,e-visa,e-visa,visa on arrival,visa required,e-visa,visa required,visa required,visa required,e-visa,visa on arrival,visa on arrival,e-visa,visa required,visa on arrival,visa required,visa required,visa required,visa required,e-visa,visa on arrival,visa required,e-visa,visa required,eta,visa required,visa required,visa required,visa required,visa required,visa on arrival,21,visa required,e-visa,visa required,e-visa,e-visa,visa required,visa required,visa required,e-visa,visa required,visa required,visa required,e-visa,visa required,e-visa,visa required,visa on arrival,visa required,visa required,visa required,e-visa,visa on arrival,visa required,90,visa required,e-visa,visa required,visa required,e-visa,e-visa,visa required,e-visa,visa required,visa required,visa required,visa required,visa required,visa required,visa required,eta,visa required,visa required,visa required,e-visa,visa required,visa required,visa required,e-visa,visa required,e-visa,visa required,visa required,visa required,visa on arrival,visa on arrival,e-visa,e-visa,visa on arrival,visa required,visa required,visa required,visa on arrival,visa required,visa required,30,e-visa,visa required,visa required,visa required,visa required,visa on arrival,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,e-visa,visa required,visa required,visa required,e-visa,e-visa,visa on arrival,visa required,visa required,e-visa,visa required,visa required,visa required,visa required,visa required,e-visa,visa required,visa required,visa on arrival,e-visa,visa required,visa on arrival,visa required,e-visa,visa required,visa required,visa required,90,e-visa,e-visa,visa required,visa required,visa required,e-visa,visa required,e-visa,e-visa,visa required,visa on arrival,visa required,visa required,e-visa,visa required,visa required,visa required,visa required,e-visa,e-visa,visa required,visa on arrival,e-visa,visa required,visa required,visa required,visa required,visa on arrival,visa required,e-visa,visa required,e-visa,visa required,visa required,visa required,visa required,visa required,visa required,visa required,e-visa,visa required,e-visa,e-visa,-1
AL,-1,visa required,90,visa required,180,visa required,180,e-visa,90,90,e-visa,e-visa,visa on arrival,28,30,90,visa required,e-visa,e-visa,visa on arrival,90,e-visa,90,visa required,90,e-visa,visa on arrival,visa on arrival,e-visa,visa required,visa on arrival,visa required,visa required,90,90,90,visa on arrival,visa required,e-visa,visa required,eta,90,e-visa,90,90,90,visa on arrival,21,visa free,e-visa,visa on arrival,180,e-visa,visa required,90,visa required,e-visa,visa required,90,90,e-visa,90,360,90,visa on arrival,90,visa required,visa required,e-visa,visa on arrival,90,90,visa required,14,90,90,e-visa,visa on arrival,visa on arrival,e-visa,visa required,90,90,visa on arrival,visa required,visa on arrival,90,eta,visa required,90,visa required,60,visa on arrival,90,visa required,e-visa,visa required,e-visa,90,90,90,90,visa on arrival,visa on arrival,90,visa on arrival,visa required,90,visa required,visa on arrival,visa on arrival,visa required,30,90,90,e-visa,90,visa required,visa on arrival,e-visa,visa required,visa required,visa on arrival,90,visa required,visa required,visa required,e-visa,visa required,90,90,e-visa,e-visa,visa on arrival,visa free,visa required,e-visa,visa required,visa required,visa required,90,90,e-visa,90,visa required,30,e-visa,visa required,visa on arrival,90,e-visa,visa on arrival,visa required,90,90,e-visa,30,90,90,visa required,e-visa,e-visa,eta,e-visa,90,visa on arrival,90,visa required,visa required,90,90,e-visa,90,e-visa,visa on arrival,60,visa on arrival,e-visa,visa required,30,visa required,visa required,visa on arrival,90,e-visa,90,180,visa required,visa required,visa required,e-visa,visa required,90,visa required,e-visa,visa required,visa on arrival,visa on arrival,visa required
DZ,e-visa,-1,visa required,30,e-visa,visa required,e-visa,e-visa,visa required,e-visa,e-visa,e-visa,visa required,90,visa required,visa required,visa required,90,e-visa,visa on arrival,visa required,e-visa,visa required,visa required,visa required,e-visa,visa on arrival,visa on arrival,e-visa,visa required,visa on arrival,visa required,visa required,visa required,visa required,e-visa,visa on arrival,visa required,e-visa,visa required,eta,visa required,e-visa,visa required,visa required,visa required,visa on arrival,21,visa required,90,visa required,e-visa,e-visa,visa required,visa required,visa required,visa on arrival,visa required,visa required,visa required,e-visa,90,e-visa,visa required,visa on arrival,visa required,visa required,visa required,visa free,visa on arrival,visa required,90,visa required,14,visa required,visa required,visa required,e-visa,visa on arrival,e-visa,visa required,visa required,visa required,visa required,visa required,visa on arrival,e-visa,eta,visa required,visa required,visa required,e-visa,visa required,visa required,visa on arrival,e-visa,visa required,visa free,visa required,visa required,visa required,visa on arrival,visa on arrival,e-visa,90,visa on arrival,30,visa required,visa on arrival,90,visa on arrival,visa required,30,e-visa,visa required,visa required,visa required,90,visa on arrival,e-visa,visa required,visa required,visa on arrival,visa required,visa required,visa on arrival,visa required,visa on arrival,visa required,visa required,visa required,e-visa,e-visa,visa on arrival,visa free,visa required,e-visa,visa required,visa required,visa required,visa required,visa required,e-visa,visa required,visa required,30,e-visa,visa required,visa on arrival,visa required,e-visa,visa required,visa on arrival,visa required,90,e-visa,e-visa,visa required,visa required,visa required,e-visa,e-visa,e-visa,e-visa,visa required,visa on arrival,90,visa required,visa required,visa required,visa required,visa free,visa required,visa on arrival,visa on arrival,e-visa,visa on arrival,e-visa,visa required,visa required,90,visa required,visa on arrival,visa required,e-visa,visa required,e-visa,visa required,visa required,visa required,e-visa,visa required,visa required,visa required,e-visa,visa on arrival,e-visa,visa on arrival,visa required
AD,90,visa required,-1,visa required,180,90,180,eta,90,e-visa,90,visa on arrival,visa on arrival,90,30,90,visa free,e-visa,e-visa,90,90,e-visa,90,visa required,90,e-visa,visa on arrival,visa on arrival,e-visa,eta,30,visa required,visa required,90,30,90,visa on arrival,visa required,e-visa,180,eta,90,e-visa,90,90,90,visa on arrival,21,visa free,90,visa on arrival,180,e-visa,visa required,90,30,e-visa,visa required,90,90,e-visa,90,360,90,visa on arrival,90,visa required,90,e-visa,visa on arrival,visa required,90,90,90,90,90,e-visa,visa on arrival,visa on arrival,e-visa,90,90,90,visa on arrival,90,visa on arrival,90,eta,visa required,90,visa on arrival,60,visa on arrival,90,visa on arrival,e-visa,visa required,e-visa,90,90,90,90,visa on arrival,visa on arrival,30,visa on arrival,visa required,90,visa on arrival,visa on arrival,visa on arrival,180,30,90,90,e-visa,90,90,visa on arrival,visa required,visa required,visa required,visa on arrival,90,eta,90,visa required,e-visa,visa required,90,90,visa on arrival,e-visa,visa on arrival,visa free,90,eta,90,180,30,90,90,visa on arrival,90,90,30,e-visa,42,visa on arrival,90,15,visa on arrival,visa on arrival,90,90,e-visa,30,90,90,visa on arrival,e-visa,90,eta,e-visa,90,visa on arrival,90,visa required,visa required,90,90,e-visa,90,30,visa on arrival,60,visa on arrival,e-visa,visa required,visa required,90,visa required,visa on arrival,90,e-visa,90,30,180,eta,90,30,120,90,90,e-visa,visa required,visa on arrival,visa on arrival,visa required
AO,e-visa,visa required,visa required,-1,e-visa,visa required,visa required,e-visa,visa required,visa required,e-visa,e-visa,visa on arrival,90,visa required,visa required,visa required,90,e-visa,visa on arrival,visa required,90,visa required,visa required,visa required,e-visa,visa on arrival,visa on arrival,e-visa,visa required,visa free,visa required,visa required,visa required,visa required,e-visa,visa on arrival,visa required,e-visa,visa required,eta,visa required,e-visa,visa required,visa required,visa required,visa on arrival,21,visa required,e-visa,visa required,e-visa,e-visa,visa required,visa required,visa required,visa on arrival,visa required,visa required,visa required,e-visa,90,e-visa,visa required,visa on arrival,visa required,visa required,visa required,e-visa,visa on arrival,visa required,90,visa required,e-visa,visa required,visa required,e-visa,e-visa,visa on arrival,e-visa,visa required,visa required,visa required,visa required,visa required,visa required,e-visa,eta,visa required,visa required,visa required,e-visa,visa on arrival,visa required,visa required,e-visa,visa required,e-visa,visa required,visa required,visa required,visa on arrival,visa on arrival,e-visa,e-visa,visa on arrival,visa required,visa required,visa required,visa on arrival,90,visa required,30,e-visa,visa required,e-visa,visa required,visa required,30,visa required,90,visa required,visa on arrival,visa required,visa required,visa on arrival,visa required,visa on arrival,visa required,visa required,visa required,e-visa,eta,visa on arrival,visa required,visa required,e-visa,visa required,visa required,30,visa required,visa required,e-visa,visa required,visa required,90,e-visa,visa required,visa on arrival,visa required,visa free,visa required,visa on arrival,visa required,90,e-visa,30,visa required,visa required,visa required,e-visa,30,e-visa,e-visa,visa required,visa on arrival,90,visa required,e-visa,visa required,visa required,e-visa,visa required,e-visa,visa on arrival,visa required,visa on arrival,e-visa,visa required,visa required,90,visa required,visa on arrival,visa required,90,visa required,e-visa,visa required,visa required,visa required,e-visa,visa required,visa required,visa required,e-visa,visa required,90,90,visa required
AG,90,visa required,90,30,-1,visa required,visa on arrival,e-visa,90,visa required,240,e-visa,visa on arrival,visa free,30,90,visa free,e-visa,e-visa,visa on arrival,90,90,90,visa required,90,e-visa,visa on arrival,visa on arrival,e-visa,visa required,visa on arrival,visa required,visa required,90,30,90,visa on arrival,visa required,e-visa,30,eta,90,30,90,90,90,visa on arrival,visa free,visa free,90,visa on arrival,180,e-visa,visa required,90,30,e-visa,120,90,90,e-visa,90,360,90,visa on arrival,90,visa free,90,e-visa,visa on arrival,180,90,90,90,90,90,e-visa,e-visa,visa on arrival,e-visa,90,visa required,90,visa free,visa required,visa on arrival,e-visa,eta,90,90,visa required,e-visa,visa on arrival,90,visa on arrival,90,visa required,e-visa,90,90,90,visa on arrival,visa on arrival,90,30,visa on arrival,visa required,90,visa required,visa on arrival,90,visa required,30,90,90,e-visa,90,visa required,visa on arrival,visa required,visa required,visa required,visa on arrival,90,visa required,90,visa required,e-visa,visa required,90,90,e-visa,e-visa,visa on arrival,visa free,90,eta,visa required,180,30,90,90,visa on arrival,90,90,30,visa free,visa free,visa on arrival,90,e-visa,visa required,visa required,90,90,visa on arrival,30,90,90,visa on arrival,e-visa,30,eta,e-visa,90,visa on arrival,visa free,visa required,180,90,90,e-visa,visa required,e-visa,90,e-visa,visa on arrival,e-visa,visa required,visa free,90,visa required,visa on arrival,visa on arrival,90,90,e-visa,eta,visa required,visa required,30,120,90,90,e-visa,visa required,90,90,visa required
AR,90,visa required,90,30,180,-1,180,e-visa,90,e-visa,90,visa on arrival,visa on arrival,90,90,90,90,e-visa,e-visa,90,90,90,90,visa required,90,visa on arrival,visa on arrival,visa on arrival,e-visa,visa required,visa on arrival,visa required,visa required,90,visa required,90,visa on arrival,visa required,e-visa,180,eta,90,e-visa,90,90,90,visa on arrival,180,visa free,90,visa on arrival,180,e-visa,visa required,90,30,visa on arrival,120,90,90,e-visa,visa required,360,90,visa on arrival,90,30,90,e-visa,visa on arrival,90,90,90,90,90,90,e-visa,visa on arrival,visa on arrival,e-visa,90,90,90,30,90,visa on arrival,30,eta,90,90,visa required,60,visa on arrival,90,visa on arrival,e-visa,visa required,e-visa,90,90,90,30,visa on arrival,visa on arrival,90,visa on arrival,visa required,90,visa on arrival,visa on arrival,90,180,30,90,90,90,90,90,visa on arrival,e-visa,visa on arrival,visa required,visa on arrival,90,eta,90,visa required,e-visa,visa required,90,90,visa on arrival,eta,visa on arrival,visa free,90,eta,90,180,30,90,90,visa on arrival,90,90,visa on arrival,90,42,visa on arrival,90,e-visa,visa required,visa on arrival,90,90,e-visa,30,90,90,visa on arrival,e-visa,90,eta,e-visa,90,visa on arrival,90,visa required,180,90,90,e-visa,visa required,30,visa on arrival,90,visa on arrival,e-visa,visa required,90,90,visa required,visa on arrival,90,e-visa,90,90,eta,visa required,90,30,120,90,90,e-visa,visa required,visa on arrival,visa on arrival,visa required
AM,90,visa required,visa required,visa required,180,90,-1,e-visa,visa required,no admission,90,e-visa,visa on arrival,28,visa free,visa required,visa required,e-visa,e-visa,visa on arrival,visa required,e-visa,90,visa required,visa required,e-visa,visa on arrival,visa on arrival,e-visa,visa required,visa on arrival,visa required,visa required,visa required,90,e-visa,visa on arrival,visa required,e-visa,visa required,eta,visa required,e-visa,visa required,visa required,visa required,visa on arrival,21,visa required,90,visa on arrival,e-visa,e-visa,visa required,visa required,visa required,e-visa,visa required,visa required,visa required,e-visa,90,360,visa required,visa on arrival,visa required,visa required,visa required,e-visa,visa on arrival,visa required,90,visa required,30,visa required,visa required,e-visa,visa on arrival,90,e-visa,visa required,visa required,visa required,visa on arrival,visa required,visa on arrival,90,eta,visa required,visa required,visa required,visa free,visa on arrival,visa required,visa on arrival,e-visa,visa required,e-visa,visa required,visa required,visa required,90,visa on arrival,visa on arrival,30,visa on arrival,visa required,visa required,visa required,visa on arrival,visa on arrival,visa required,30,90,visa required,e-visa,visa required,visa required,visa on arrival,visa required,90,visa required,visa on arrival,visa required,visa required,visa required,visa required,e-visa,visa required,visa required,visa required,e-visa,visa required,visa on arrival,visa free,90,e-visa,visa required,visa required,visa required,visa required,visa required,visa on arrival,visa required,90,30,e-visa,visa required,visa on arrival,visa required,e-visa,visa required,visa on arrival,90,90,visa on arrival,e-visa,visa required,visa required,visa required,e-visa,visa required,e-visa,e-visa,visa required,visa on arrival,90,visa required,visa required,visa required,visa required,e-visa,visa required,90,visa on arrival,visa on arrival,visa on arrival,e-visa,visa required,visa required,visa required,visa required,visa on arrival,visa on arrival,e-visa,visa free,90,visa required,visa required,90,visa free,visa required,visa required,visa required,e-visa,visa required,e-visa,visa on arrival,visa required
AU,90,visa required,90,30,180,90,180,-1,90,e-visa,90,visa on arrival,visa on arrival,180,30,90,visa free,e-visa,e-visa,90,90,90,90,visa on arrival,90,visa on arrival,visa on arrival,visa on arrival,e-visa,eta,visa on arrival,visa required,visa required,e-visa,30,90,visa on arrival,visa required,e-visa,180,eta,90,e-visa,90,90,90,visa on arrival,180,visa free,90,visa on arrival,180,e-visa,visa required,90,30,visa on arrival,120,90,90,e-visa,90,360,90,visa on arrival,90,90,90,e-visa,visa on arrival,90,90,90,90,90,90,e-visa,visa on arrival,visa on arrival,visa on arrival,90,90,90,visa free,90,visa on arrival,30,eta,90,90,visa on arrival,60,visa on arrival,90,visa on arrival,visa free,visa required,e-visa,90,90,90,30,visa on arrival,30,visa free,visa on arrival,visa required,90,visa on arrival,visa on arrival,90,180,30,90,90,30,90,90,visa on arrival,e-visa,90,visa required,visa on arrival,90,visa free,90,visa required,e-visa,visa required,90,90,visa on arrival,eta,visa on arrival,visa free,90,eta,90,180,30,90,90,visa on arrival,90,visa required,30,90,42,visa on arrival,90,e-visa,visa on arrival,visa on arrival,90,90,visa on arrival,visa free,90,90,visa on arrival,e-visa,90,90,e-visa,90,visa on arrival,90,visa required,visa required,90,90,e-visa,90,30,visa on arrival,60,visa on arrival,e-visa,visa on arrival,visa on arrival,90,visa required,visa on arrival,visa on arrival,e-visa,90,30,eta,eta,90,30,120,90,90,e-visa,visa required,90,visa on arrival,visa required
AT,90,visa required,visa free,30,180,90,180,eta,-1,e-visa,90,visa on arrival,visa on arrival,90,30,visa free,visa free,e-visa,e-visa,90,90,90,90,90,visa free,visa on arrival,visa on arrival,visa on arrival,e-visa,eta,30,visa required,visa required,90,30,90,visa on arrival,visa required,e-visa,180,eta,90,e-visa,visa free,visa free,visa free,visa on arrival,180,visa free,90,visa on arrival,180,e-visa,visa required,visa free,30,visa on arrival,120,visa free,visa free,e-visa,90,360,visa free,visa on arrival,visa free,90,90,e-visa,visa on arrival,90,90,90,90,visa free,visa free,e-visa,visa on arrival,visa on arrival,visa on arrival,visa free,90,visa free,90,90,visa on arrival,30,eta,90,90,visa on arrival,60,15,visa free,visa on arrival,visa free,visa required,e-visa,visa free,visa free,visa free,90,visa on arrival,visa on arrival,90,visa on arrival,visa required,visa free,90,visa on arrival,90,180,90,90,visa free,30,90,90,visa on arrival,e-visa,90,visa required,visa on arrival,visa free,eta,90,visa required,e-visa,visa required,90,visa free,visa on arrival,eta,90,visa free,90,eta,90,90,30,visa free,visa free,visa on arrival,visa free,e-visa,visa on arrival,90,90,90,visa free,15,visa on arrival,90,90,90,visa on arrival,90,visa free,visa free,90,visa on arrival,90,90,e-visa,visa free,visa on arrival,90,visa required,visa required,visa free,visa free,e-visa,90,30,visa on arrival,60,90,e-visa,90,90,90,visa required,90,90,e-visa,90,90,180,eta,90,30,120,visa free,90,e-visa,visa required,90,visa on arrival,visa required
