Passport,ALB,DZA,AND,AGO,ATG,ARG,ARM,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CAF,TCD,CHL,CHN,COL,COM,COG,COD,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,SWZ,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GRC,GRD,GTM,GIN,GNB,GUY,HTI,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,XKX,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MDA,MCO,MNG,MNE,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,NZL,NIC,NER,NGA,PRK,MKD,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROU,RUS,RWA,KNA,LCA,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,KOR,SSD,ESP,LKA,VCT,SDN,SUR,SWE,CHE,SYR,TWN,TJK,TZA,THA,TLS,TGO,TON,TTO,TUN,TKM,TUV,TUR,UGA,UKR,ARE,GBR,USA,URY,UZB,VUT,VAT,VEN,VNM,YEM,ZMB,ZWE,AFG
AFG,e-visa,visa required,visa required,visa required,e-visa,visa required,visa required,e-visa,visa required,visa required,e-visa,e-visa,visa on arrival,visa required,visa required,visa required,visa required,e-visa,e-visa,visa on arrival,visa required,e-visa,visa required,visa required,visa required,e-visa,visa on arrival,visa on arrival,e-visa,visa required,visa on arrival,visa required,visa required,visa required,visa required,e-visa,visa on arrival,visa required,e-visa,visa required,eta,visa required,visa required,visa required,visa required,visa required,visa on arrival,21,visa required,e-visa,visa required,e-visa,e-visa,visa required,visa required,visa required,e-visa,visa required,visa required,visa required,e-visa,visa required,e-visa,visa required,visa on arrival,visa required,visa required,visa required,e-visa,visa on arrival,visa required,90,visa required,e-visa,visa required,visa required,e-visa,e-visa,visa required,e-visa,visa required,visa required,visa required,visa required,visa required,visa required,visa required,eta,visa required,visa required,visa required,e-visa,visa required,visa required,visa required,e-visa,visa required,e-visa,visa required,visa required,visa required,visa on arrival,visa on arrival,e-visa,e-visa,visa on arrival,visa required,visa required,visa required,visa on arrival,visa required,visa required,30,e-visa,visa required,visa required,visa required,visa required,visa on arrival,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,e-visa,visa required,visa required,visa required,e-visa,e-visa,visa on arrival,visa required,visa required,e-visa,visa required,visa required,visa required,visa required,visa required,e-visa,visa required,visa required,visa on arrival,e-visa,visa required,visa on arrival,visa required,e-visa,visa required,visa required,visa required,90,e-visa,e-visa,visa required,visa required,visa required,e-visa,visa required,e-visa,e-visa,visa required,visa on arrival,visa required,visa required,e-visa,visa required,visa required,visa required,visa required,e-visa,e-visa,visa required,visa on arrival,e-visa,visa required,visa required,visa required,visa required,visa on arrival,visa required,e-visa,visa required,e-visa,visa required,visa required,visa required,visa required,visa required,visa required,visa required,e-visa,visa required,e-visa,e-visa,-1
ALB,-1,visa required,90,visa required,180,visa required,180,e-visa,90,90,e-visa,e-visa,visa on arrival,28,30,90,visa required,e-visa,e-visa,visa on arrival,90,e-visa,90,visa required,90,e-visa,visa on arrival,visa on arrival,e-visa,visa required,visa on arrival,visa required,visa required,90,90,90,visa on arrival,visa required,e-visa,visa required,eta,90,e-visa,90,90,90,visa on arrival,21,visa free,e-visa,visa on arrival,180,e-visa,visa required,90,visa required,e-visa,visa required,90,90,e-visa,90,360,90,visa on arrival,90,visa required,visa required,e-visa,visa on arrival,90,90,visa required,14,90,90,e-visa,visa on arrival,visa on arrival,e-visa,visa required,90,90,visa on arrival,visa required,visa on arrival,90,eta,visa required,90,visa required,60,visa on arrival,90,visa required,e-visa,visa required,e-visa,90,90,90,90,visa on arrival,visa on arrival,90,visa on arrival,visa required,90,visa required,visa on arrival,visa on arrival,visa required,30,90,90,e-visa,90,visa required,visa on arrival,e-visa,visa required,visa required,visa on arrival,90,visa required,visa required,visa required,e-visa,visa required,90,90,e-visa,e-visa,visa on arrival,visa free,visa required,e-visa,visa required,visa required,visa required,90,90,e-visa,90,visa required,30,e-visa,visa required,visa on arrival,90,e-visa,visa on arrival,visa required,90,90,e-visa,30,90,90,visa required,e-visa,e-visa,eta,e-visa,90,visa on arrival,90,visa required,visa required,90,90,e-visa,90,e-visa,visa on arrival,60,visa on arrival,e-visa,visa required,30,visa required,visa required,visa on arrival,90,e-visa,90,180,visa required,visa required,visa required,e-visa,visa required,90,visa required,e-visa,visa required,visa on arrival,visa on arrival,visa required
DZA,e-visa,-1,visa required,30,e-visa,visa required,e-visa,e-visa,visa required,e-visa,e-visa,e-visa,visa required,90,visa required,visa required,visa required,90,e-visa,visa on arrival,visa required,e-visa,visa required,visa required,visa required,e-visa,visa on arrival,visa on arrival,e-visa,visa required,visa on arrival,visa required,visa required,visa required,visa required,e-visa,visa on arrival,visa required,e-visa,visa required,eta,visa required,e-visa,visa required,visa required,visa required,visa on arrival,21,visa required,90,visa required,e-visa,e-visa,visa required,visa required,visa required,visa on arrival,visa required,visa required,visa required,e-visa,90,e-visa,visa required,visa on arrival,visa required,visa required,visa required,visa free,visa on arrival,visa required,90,visa required,14,visa required,visa required,visa required,e-visa,visa on arrival,e-visa,visa required,visa required,visa required,visa required,visa required,visa on arrival,e-visa,eta,visa required,visa required,visa required,e-visa,visa required,visa required,visa on arrival,e-visa,visa required,visa free,visa required,visa required,visa required,visa on arrival,visa on arrival,e-visa,90,visa on arrival,30,visa required,visa on arrival,90,visa on arrival,visa required,30,e-visa,visa required,visa required,visa required,90,visa on arrival,e-visa,visa required,visa required,visa on arrival,visa required,visa required,visa on arrival,visa required,visa on arrival,visa required,visa required,visa required,e-visa,e-visa,visa on arrival,visa free,visa required,e-visa,visa required,visa required,visa required,visa required,visa required,e-visa,visa required,visa required,30,e-visa,visa required,visa on arrival,visa required,e-visa,visa required,visa on arrival,visa required,90,e-visa,e-visa,visa required,visa required,visa required,e-visa,e-visa,e-visa,e-visa,visa required,visa on arrival,90,visa required,visa required,visa required,visa required,visa free,visa required,visa on arrival,visa on arrival,e-visa,visa on arrival,e-visa,visa required,visa required,90,visa required,visa on arrival,visa required,e-visa,visa required,e-visa,visa required,visa required,visa required,e-visa,visa required,visa required,visa required,e-visa,visa on arrival,e-visa,visa on arrival,visa required
AND,90,visa required,-1,visa required,180,90,180,eta,90,e-visa,90,visa on arrival,visa on arrival,90,30,90,visa free,e-visa,e-visa,90,90,e-visa,90,visa required,90,e-visa,visa on arrival,visa on arrival,e-visa,eta,30,visa required,visa required,90,30,90,visa on arrival,visa required,e-visa,180,eta,90,e-visa,90,90,90,visa on arrival,21,visa free,90,visa on arrival,180,e-visa,visa required,90,30,e-visa,visa required,90,90,e-visa,90,360,90,visa on arrival,90,visa required,90,e-visa,visa on arrival,visa required,90,90,90,90,90,e-visa,visa on arrival,visa on arrival,e-visa,90,90,90,visa on arrival,90,visa on arrival,90,eta,visa required,90,visa on arrival,60,visa on arrival,90,visa on arrival,e-visa,visa required,e-visa,90,90,90,90,visa on arrival,visa on arrival,30,visa on arrival,visa required,90,visa on arrival,visa on arrival,visa on arrival,180,30,90,90,e-visa,90,90,visa on arrival,visa required,visa required,visa required,visa on arrival,90,eta,90,visa required,e-visa,visa required,90,90,visa on arrival,e-visa,visa on arrival,visa free,90,eta,90,180,30,90,90,visa on arrival,90,90,30,e-visa,42,visa on arrival,90,15,visa on arrival,visa on arrival,90,90,e-visa,30,90,90,visa on arrival,e-visa,90,eta,e-visa,90,visa on arrival,90,visa required,visa required,90,90,e-visa,90,30,visa on arrival,60,visa on arrival,e-visa,visa required,visa required,90,visa required,visa on arrival,90,e-visa,90,30,180,eta,90,30,120,90,90,e-visa,visa required,visa on arrival,visa on arrival,visa required
AGO,e-visa,visa required,visa required,-1,e-visa,visa required,visa required,e-visa,visa required,visa required,e-visa,e-visa,visa on arrival,90,visa required,visa required,visa required,90,e-visa,visa on arrival,visa required,90,visa required,visa required,visa required,e-visa,visa on arrival,visa on arrival,e-visa,visa required,visa free,visa required,visa required,visa required,visa required,e-visa,visa on arrival,visa required,e-visa,visa required,eta,visa required,e-visa,visa required,visa required,visa required,visa on arrival,21,visa required,e-visa,visa required,e-visa,e-visa,visa required,visa required,visa required,visa on arrival,visa required,visa required,visa required,e-visa,90,e-visa,visa required,visa on arrival,visa required,visa required,visa required,e-visa,visa on arrival,visa required,90,visa required,e-visa,visa required,visa required,e-visa,e-visa,visa on arrival,e-visa,visa required,visa required,visa required,visa required,visa required,visa required,e-visa,eta,visa required,visa required,visa required,e-visa,visa on arrival,visa required,visa required,e-visa,visa required,e-visa,visa required,visa required,visa required,visa on arrival,visa on arrival,e-visa,e-visa,visa on arrival,visa required,visa required,visa required,visa on arrival,90,visa required,30,e-visa,visa required,e-visa,visa required,visa required,30,visa required,90,visa required,visa on arrival,visa required,visa required,visa on arrival,visa required,visa on arrival,visa required,visa required,visa required,e-visa,eta,visa on arrival,visa required,visa required,e-visa,visa required,visa required,30,visa required,visa required,e-visa,visa required,visa required,90,e-visa,visa required,visa on arrival,visa required,visa free,visa required,visa on arrival,visa required,90,e-visa,30,visa required,visa required,visa required,e-visa,30,e-visa,e-visa,visa required,visa on arrival,90,visa required,e-visa,visa required,visa required,e-visa,visa required,e-visa,visa on arrival,visa required,visa on arrival,e-visa,visa required,visa required,90,visa required,visa on arrival,visa required,90,visa required,e-visa,visa required,visa required,visa required,e-visa,visa required,visa required,visa required,e-visa,visa required,90,90,visa required
ATG,90,visa required,90,30,-1,visa required,visa on arrival,e-visa,90,visa required,240,e-visa,visa on arrival,visa free,30,90,visa free,e-visa,e-visa,visa on arrival,90,90,90,visa required,90,e-visa,visa on arrival,visa on arrival,e-visa,visa required,visa on arrival,visa required,visa required,90,30,90,visa on arrival,visa required,e-visa,30,eta,90,30,90,90,90,visa on arrival,visa free,visa free,90,visa on arrival,180,e-visa,visa required,90,30,e-visa,120,90,90,e-visa,90,360,90,visa on arrival,90,visa free,90,e-visa,visa on arrival,180,90,90,90,90,90,e-visa,e-visa,visa on arrival,e-visa,90,visa required,90,visa free,visa required,visa on arrival,e-visa,eta,90,90,visa required,e-visa,visa on arrival,90,visa on arrival,90,visa required,e-visa,90,90,90,visa on arrival,visa on arrival,90,30,visa on arrival,visa required,90,visa required,visa on arrival,90,visa required,30,90,90,e-visa,90,visa required,visa on arrival,visa required,visa required,visa required,visa on arrival,90,visa required,90,visa required,e-visa,visa required,90,90,e-visa,e-visa,visa on arrival,visa free,90,eta,visa required,180,30,90,90,visa on arrival,90,90,30,visa free,visa free,visa on arrival,90,e-visa,visa required,visa required,90,90,visa on arrival,30,90,90,visa on arrival,e-visa,30,eta,e-visa,90,visa on arrival,visa free,visa required,180,90,90,e-visa,visa required,e-visa,90,e-visa,visa on arrival,e-visa,visa required,visa free,90,visa required,visa on arrival,visa on arrival,90,90,e-visa,eta,visa required,visa required,30,120,90,90,e-visa,visa required,90,90,visa required
ARG,90,visa required,90,30,180,-1,180,e-visa,90,e-visa,90,visa on arrival,visa on arrival,90,90,90,90,e-visa,e-visa,90,90,90,90,visa required,90,visa on arrival,visa on arrival,visa on arrival,e-visa,visa required,visa on arrival,visa required,visa required,90,visa required,90,visa on arrival,visa required,e-visa,180,eta,90,e-visa,90,90,90,visa on arrival,180,visa free,90,visa on arrival,180,e-visa,visa required,90,30,visa on arrival,120,90,90,e-visa,visa required,360,90,visa on arrival,90,30,90,e-visa,visa on arrival,90,90,90,90,90,90,e-visa,visa on arrival,visa on arrival,e-visa,90,90,90,30,90,visa on arrival,30,eta,90,90,visa required,60,visa on arrival,90,visa on arrival,e-visa,visa required,e-visa,90,90,90,30,visa on arrival,visa on arrival,90,visa on arrival,visa required,90,visa on arrival,visa on arrival,90,180,30,90,90,90,90,90,visa on arrival,e-visa,visa on arrival,visa required,visa on arrival,90,eta,90,visa required,e-visa,visa required,90,90,visa on arrival,eta,visa on arrival,visa free,90,eta,90,180,30,90,90,visa on arrival,90,90,visa on arrival,90,42,visa on arrival,90,e-visa,visa required,visa on arrival,90,90,e-visa,30,90,90,visa on arrival,e-visa,90,eta,e-visa,90,visa on arrival,90,visa required,180,90,90,e-visa,visa required,30,visa on arrival,90,visa on arrival,e-visa,visa required,90,90,visa required,visa on arrival,90,e-visa,90,90,eta,visa required,90,30,120,90,90,e-visa,visa required,visa on arrival,visa on arrival,visa required
ARM,90,visa required,visa required,visa required,180,90,-1,e-visa,visa required,no admission,90,e-visa,visa on arrival,28,visa free,visa required,visa required,e-visa,e-visa,visa on arrival,visa required,e-visa,90,visa required,visa required,e-visa,visa on arrival,visa on arrival,e-visa,visa required,visa on arrival,visa required,visa required,visa required,90,e-visa,visa on arrival,visa required,e-visa,visa required,eta,visa required,e-visa,visa required,visa required,visa required,visa on arrival,21,visa required,90,visa on arrival,e-visa,e-visa,visa required,visa required,visa required,e-visa,visa required,visa required,visa required,e-visa,90,360,visa required,visa on arrival,visa required,visa required,visa required,e-visa,visa on arrival,visa required,90,visa required,30,visa required,visa required,e-visa,visa on arrival,90,e-visa,visa required,visa required,visa required,visa on arrival,visa required,visa on arrival,90,eta,visa required,visa required,visa required,visa free,visa on arrival,visa required,visa on arrival,e-visa,visa required,e-visa,visa required,visa required,visa required,90,visa on arrival,visa on arrival,30,visa on arrival,visa required,visa required,visa required,visa on arrival,visa on arrival,visa required,30,90,visa required,e-visa,visa required,visa required,visa on arrival,visa required,90,visa required,visa on arrival,visa required,visa required,visa required,visa required,e-visa,visa required,visa required,visa required,e-visa,visa required,visa on arrival,visa free,90,e-visa,visa required,visa required,visa required,visa required,visa required,visa on arrival,visa required,90,30,e-visa,visa required,visa on arrival,visa required,e-visa,visa required,visa on arrival,90,90,visa on arrival,e-visa,visa required,visa required,visa required,e-visa,visa required,e-visa,e-visa,visa required,visa on arrival,90,visa required,visa required,visa required,visa required,e-visa,visa required,90,visa on arrival,visa on arrival,visa on arrival,e-visa,visa required,visa required,visa required,visa required,visa on arrival,visa on arrival,e-visa,visa free,90,visa required,visa required,90,visa free,visa required,visa required,visa required,e-visa,visa required,e-visa,visa on arrival,visa required
AUS,90,visa required,90,30,180,90,180,-1,90,e-visa,90,visa on arrival,visa on arrival,180,30,90,visa free,e-visa,e-visa,90,90,90,90,visa on arrival,90,visa on arrival,visa on arrival,visa on arrival,e-visa,eta,visa on arrival,visa required,visa required,e-visa,30,90,visa on arrival,visa required,e-visa,180,eta,90,e-visa,90,90,90,visa on arrival,180,visa free,90,visa on arrival,180,e-visa,visa required,90,30,visa on arrival,120,90,90,e-visa,90,360,90,visa on arrival,90,90,90,e-visa,visa on arrival,90,90,90,90,90,90,e-visa,visa on arrival,visa on arrival,visa on arrival,90,90,90,visa free,90,visa on arrival,30,eta,90,90,visa on arrival,60,visa on arrival,90,visa on arrival,visa free,visa required,e-visa,90,90,90,30,visa on arrival,30,visa free,visa on arrival,visa required,90,visa on arrival,visa on arrival,90,180,30,90,90,30,90,90,visa on arrival,e-visa,90,visa required,visa on arrival,90,visa free,90,visa required,e-visa,visa required,90,90,visa on arrival,eta,visa on arrival,visa free,90,eta,90,180,30,90,90,visa on arrival,90,visa required,30,90,42,visa on arrival,90,e-visa,visa on arrival,visa on arrival,90,90,visa on arrival,visa free,90,90,visa on arrival,e-visa,90,90,e-visa,90,visa on arrival,90,visa required,visa required,90,90,e-visa,90,30,visa on arrival,60,visa on arrival,e-visa,visa on arrival,visa on arrival,90,visa required,visa on arrival,visa on arrival,e-visa,90,30,eta,eta,90,30,120,90,90,e-visa,visa required,90,visa on arrival,visa required
AUT,90,visa required,visa free,30,180,90,180,eta,-1,e-visa,90,visa on arrival,visa on arrival,90,30,visa free,visa free,e-visa,e-visa,90,90,90,90,90,visa free,visa on arrival,visa on arrival,visa on arrival,e-visa,eta,30,visa required,visa required,90,30,90,visa on arrival,visa required,e-visa,180,eta,90,e-visa,visa free,visa free,visa free,visa on arrival,180,visa free,90,visa on arrival,180,e-visa,visa required,visa free,30,visa on arrival,120,visa free,visa free,e-visa,90,360,visa free,visa on arrival,visa free,90,90,e-visa,visa on arrival,90,90,90,90,visa free,visa free,e-visa,visa on arrival,visa on arrival,visa on arrival,visa free,90,visa free,90,90,visa on arrival,30,eta,90,90,visa on arrival,60,15,visa free,visa on arrival,visa free,visa required,e-visa,visa free,visa free,visa free,90,visa on arrival,visa on arrival,90,visa on arrival,visa required,visa free,90,visa on arrival,90,180,90,90,visa free,30,90,90,visa on arrival,e-visa,90,visa required,visa on arrival,visa free,eta,90,visa required,e-visa,visa required,90,visa free,visa on arrival,eta,90,visa free,90,eta,90,90,30,visa free,visa free,visa on arrival,visa free,e-visa,visa on arrival,90,90,90,visa free,15,visa on arrival,90,90,90,visa on arrival,90,visa free,visa free,90,visa on arrival,90,90,e-visa,visa free,visa on arrival,90,visa required,visa required,visa free,visa free,e-visa,90,30,visa on arrival,60,90,e-visa,90,90,90,visa required,90,90,e-visa,90,90,180,eta,90,30,120,visa free,90,e-visa,visa required,90,visa on arrival,visa required
