Passport,Destination,Requirement
AF,AL,visa required
AF,DZ,visa required
AF,AD,covid ban
AF,AO,visa on arrival
AF,AG,e-visa
AF,AR,covid ban
AF,AM,visa required
AF,AU,e-visa
AF,AT,covid ban
AF,AZ,covid ban
AF,BS,visa required
AF,BH,e-visa
AF,BD,covid ban
AF,BB,visa required
AF,BY,visa required
AF,BE,covid ban
AF,BZ,visa required
AF,BJ,e-visa
AF,BT,visa required
AF,BO,visa on arrival
AF,BA,visa required
AF,BW,visa required
AF,BR,visa required
AF,BN,covid ban
AF,BG,covid ban
AF,BF,visa required
AF,BI,visa required
AF,KH,visa on arrival
AF,CM,covid ban
AF,CA,covid ban
AF,CV,visa on arrival
AF,CF,visa required
AF,TD,visa required
AF,CL,covid ban
AF,CN,visa required
AF,CO,e-visa
AF,KM,visa on arrival
AF,CG,visa required
AF,CD,visa required
AF,CR,visa required
AF,CI,e-visa
AF,HR,visa required
AF,CU,visa required
AF,CY,covid ban
AF,CZ,covid ban
AF,DK,covid ban
AF,DJ,e-visa
AF,DM,21
AF,DO,visa required
AF,EC,visa required
AF,EG,visa required
AF,SV,visa required
AF,GQ,visa required
AF,ER,visa required
AF,EE,covid ban
AF,SZ,visa required
AF,ET,e-visa
AF,FJ,covid ban
AF,FI,covid ban
AF,FR,covid ban
AF,GA,e-visa
AF,GM,visa required
AF,GE,covid ban
AF,DE,covid ban
AF,GH,visa required
AF,GR,covid ban
AF,GD,visa required
AF,GT,visa required
AF,GN,e-visa
AF,GW,visa on arrival
AF,GY,visa required
AF,HT,90
AF,HN,visa required
AF,HK,covid ban
AF,HU,covid ban
AF,IS,covid ban
AF,IN,visa required
AF,ID,covid ban
AF,IR,visa required
AF,IQ,visa required
AF,IE,visa required
AF,IL,covid ban
AF,IT,covid ban
AF,JM,visa required
AF,JP,covid ban
AF,JO,visa required
AF,KZ,covid ban
AF,KE,visa required
AF,KI,visa required
AF,XK,visa required
AF,KW,visa required
AF,KG,e-visa
AF,LA,covid ban
AF,LV,covid ban
AF,LB,visa required
AF,LS,e-visa
AF,LR,visa required
AF,LY,visa required
AF,LI,covid ban
AF,LT,covid ban
AF,LU,covid ban
AF,MO,covid ban
AF,MG,visa on arrival
AF,MW,e-visa
AF,MY,covid ban
AF,MV,visa on arrival
AF,ML,visa required
AF,MT,covid ban
AF,MH,covid ban
AF,MR,visa on arrival
AF,MU,covid ban
AF,MX,visa required
AF,FM,30
AF,MD,e-visa
AF,MC,covid ban
AF,MN,covid ban
AF,ME,covid ban
AF,MA,visa required
AF,MZ,visa required
AF,MM,visa required
AF,NA,visa required
AF,NR,visa required
AF,NP,covid ban
AF,NL,covid ban
AF,NZ,covid ban
AF,NI,visa required
AF,NE,visa required
AF,NG,visa on arrival
AF,KP,visa required
AF,MK,visa required
AF,NO,covid ban
AF,OM,covid ban
AF,PK,visa required
AF,PW,visa on arrival
AF,PS,visa required
AF,PA,visa required
AF,PG,covid ban
AF,PY,visa required
AF,PE,visa required
AF,PH,covid ban
AF,PL,covid ban
AF,PT,covid ban
AF,QA,e-visa
AF,RO,covid ban
AF,RU,covid ban
AF,RW,visa on arrival
AF,KN,e-visa
AF,LC,visa required
AF,WS,visa on arrival
AF,SM,covid ban
AF,ST,e-visa
AF,SA,visa required
AF,SN,visa on arrival
AF,RS,visa required
AF,SC,90
AF,SL,visa required
AF,SG,e-visa
AF,SK,visa required
AF,SI,visa required
AF,SB,covid ban
AF,SO,visa on arrival
AF,ZA,visa required
AF,KR,covid ban
AF,SS,e-visa
AF,ES,covid ban
AF,LK,covid ban
AF,VC,30
AF,SD,visa required
AF,SR,e-visa
AF,SE,covid ban
AF,CH,covid ban
AF,SY,visa required
AF,TW,covid ban
AF,TJ,e-visa
AF,TZ,e-visa
AF,TH,covid ban
AF,TL,covid ban
AF,TG,visa on arrival
AF,TO,visa required
AF,TT,visa required
AF,TN,visa required
AF,TR,visa required
AF,TM,covid ban
AF,TV,visa on arrival
AF,UG,visa on arrival
AF,UA,visa required
AF,AE,e-visa
AF,GB,visa required
AF,US,covid ban
AF,UY,covid ban
AF,UZ,e-visa
AF,VU,visa required
AF,VA,covid ban
AF,VE,visa required
AF,VN,covid ban
AF,YE,visa required
AF,ZM,e-visa
AF,ZW,e-visa
AF,AF,-1
AL,AL,-1
AL,DZ,visa required
AL,AD,covid ban
AL,AO,visa on arrival
AL,AG,180
AL,AR,covid ban
AL,AM,180
AL,AU,e-visa
AL,AT,covid ban
AL,AZ,covid ban
AL,BS,visa required
AL,BH,e-visa
AL,BD,covid ban
AL,BB,28
AL,BY,30
AL,BE,covid ban
AL,BZ,visa required
AL,BJ,e-visa
AL,BT,visa required
AL,BO,visa on arrival
AL,BA,90
AL,BW,visa required
AL,BR,90
AL,BN,covid ban
AL,BG,90
AL,BF,visa required
AL,BI,visa required
AL,KH,visa on arrival
AL,CM,covid ban
AL,CA,covid ban
AL,CV,visa on arrival
AL,CF,visa required
AL,TD,visa required
AL,CL,covid ban
AL,CN,visa required
AL,CO,90
AL,KM,visa on arrival
AL,CG,visa required
AL,CD,visa required
AL,CR,visa required
AL,CI,e-visa
AL,HR,90
AL,CU,visa required
AL,CY,covid ban
AL,CZ,covid ban
AL,DK,covid ban
AL,DJ,e-visa
AL,DM,21
AL,DO,visa required
AL,EC,90
AL,EG,visa on arrival
AL,SV,90
AL,GQ,visa required
AL,ER,visa required
AL,EE,covid ban
AL,SZ,visa required
AL,ET,e-visa
AL,FJ,covid ban
AL,FI,covid ban
AL,FR,covid ban
AL,GA,e-visa
AL,GM,90
AL,GE,covid ban
AL,DE,covid ban
AL,GH,visa required
AL,GR,covid ban
AL,GD,visa required
AL,GT,visa required
AL,GN,e-visa
AL,GW,visa on arrival
AL,GY,visa required
AL,HT,90
AL,HN,visa required
AL,HK,covid ban
AL,HU,covid ban
AL,IS,covid ban
AL,IN,e-visa
AL,ID,covid ban
AL,IR,e-visa
AL,IQ,visa required
AL,IE,visa required
AL,IL,covid ban
AL,IT,covid ban
AL,JM,visa on arrival
AL,JP,covid ban
