Passport,Destination,Value
Afghanistan,Afghanistan,-1
Afghanistan,Albania,0
Afghanistan,Algeria,0
Afghanistan,Andorra,0
Afghanistan,Angola,0
Afghanistan,Antigua and Barbuda,0
Afghanistan,Argentina,0
Afghanistan,Armenia,0
Afghanistan,Australia,0
Afghanistan,Austria,0
Afghanistan,Azerbaijan,0
Afghanistan,Bahamas,0
Afghanistan,Bahrain,0
Afghanistan,Bangladesh,1
Afghanistan,Barbados,0
Afghanistan,Belarus,0
Afghanistan,Belgium,0
Afghanistan,Belize,0
Afghanistan,Benin,0
Afghanistan,Bhutan,0
Afghanistan,Bolivia,1
Afghanistan,Bosnia and Herzegovina,0
Afghanistan,Botswana,0
Afghanistan,Brazil,0
Afghanistan,Brunei,0
Afghanistan,Bulgaria,0
Afghanistan,Burkina Faso,0
Afghanistan,Burundi,0
Afghanistan,Cambodia,1
Afghanistan,Cameroon,0
Afghanistan,Canada,0
Afghanistan,Cape Verde,1
Afghanistan,Central African Republic,0
Afghanistan,Chad,0
Afghanistan,Chile,0
Afghanistan,China,0
Afghanistan,Colombia,0
Afghanistan,Comoros,1
Afghanistan,Congo,0
Afghanistan,DR Congo,0
Afghanistan,Costa Rica,0
Afghanistan,Ivory Coast,2
Afghanistan,Croatia,0
Afghanistan,Cuba,0
Afghanistan,Cyprus,0
Afghanistan,Czech Republic,0
Afghanistan,Denmark,0
Afghanistan,Djibouti,1
Afghanistan,Dominica,3
Afghanistan,Dominican Republic,0
Afghanistan,Ecuador,0
Afghanistan,Egypt,0
Afghanistan,El Salvador,0
Afghanistan,Equatorial Guinea,0
Afghanistan,Eritrea,0
Afghanistan,Estonia,0
Afghanistan,Swaziland,0
Afghanistan,Ethiopia,1
Afghanistan,Fiji,0
Afghanistan,Finland,0
Afghanistan,France,0
Afghanistan,Gabon,1
Afghanistan,Gambia,0
Afghanistan,Georgia,0
Afghanistan,Germany,0
Afghanistan,Ghana,0
Afghanistan,Greece,0
Afghanistan,Grenada,0
Afghanistan,Guatemala,0
Afghanistan,Guinea,0
Afghanistan,Guinea-Bissau,1
Afghanistan,Guyana,0
Afghanistan,Haiti,3
Afghanistan,Honduras,0
Afghanistan,Hong Kong,0
Afghanistan,Hungary,0
Afghanistan,Iceland,0
Afghanistan,India,0
Afghanistan,Indonesia,0
Afghanistan,Iran,0
Afghanistan,Iraq,0
Afghanistan,Ireland,0
Afghanistan,Israel,0
Afghanistan,Italy,0
Afghanistan,Jamaica,0
Afghanistan,Japan,0
Afghanistan,Jordan,0
Afghanistan,Kazakhstan,0
Afghanistan,Kenya,0
Afghanistan,Kiribati,0
Afghanistan,Kosovo,0
Afghanistan,Kuwait,0
Afghanistan,Kyrgyzstan,0
Afghanistan,Laos,0
Afghanistan,Latvia,0
Afghanistan,Lebanon,0
Afghanistan,Lesotho,1
Afghanistan,Liberia,0
Afghanistan,Libya,0
Afghanistan,Liechtenstein,0
Afghanistan,Lithuania,0
Afghanistan,Luxembourg,0
Afghanistan,Macao,1
Afghanistan,Madagascar,1
Afghanistan,Malawi,0
Afghanistan,Malaysia,0
Afghanistan,Maldives,1
Afghanistan,Mali,0
Afghanistan,Malta,0
Afghanistan,Marshall Islands,0
Afghanistan,Mauritania,1
Afghanistan,Mauritius,0
Afghanistan,Mexico,0
Afghanistan,Micronesia,3
Afghanistan,Moldova,0
Afghanistan,Monaco,0
Afghanistan,Mongolia,0
Afghanistan,Montenegro,0
Afghanistan,Morocco,0
Afghanistan,Mozambique,1
Afghanistan,Myanmar,0
Afghanistan,Namibia,0
Afghanistan,Nauru,0
Afghanistan,Nepal,0
Afghanistan,Netherlands,0
Afghanistan,New Zealand,0
Afghanistan,Nicaragua,0
Afghanistan,Niger,0
Afghanistan,Nigeria,0
Afghanistan,North Korea,0
Afghanistan,North Macedonia,0
Afghanistan,Norway,0
Afghanistan,Oman,0
Afghanistan,Pakistan,0
Afghanistan,Palau,1
Afghanistan,Palestine,0
Afghanistan,Panama,0
Afghanistan,Papua New Guinea,0
Afghanistan,Paraguay,0
Afghanistan,Peru,0
Afghanistan,Philippines,0
Afghanistan,Poland,0
Afghanistan,Portugal,0
Afghanistan,Qatar,1
Afghanistan,Romania,0
Afghanistan,Russian Federation,0
Afghanistan,Rwanda,1
Afghanistan,Saint Kitts and Nevis,0
Afghanistan,Saint Lucia,0
Afghanistan,Samoa,1
Afghanistan,San Marino,0
Afghanistan,Sao Tome and Principe,0
Afghanistan,Saudi Arabia,0
Afghanistan,Senegal,0
Afghanistan,Serbia,0
Afghanistan,Seychelles,1
Afghanistan,Sierra Leone,0
Afghanistan,Singapore,0
Afghanistan,Slovakia,0
Afghanistan,Slovenia,0
Afghanistan,Solomon Islands,0
Afghanistan,Somalia,1
Afghanistan,South Africa,0
Afghanistan,South Korea,0
Afghanistan,South Sudan,0
Afghanistan,Spain,0
Afghanistan,Sri Lanka,0
Afghanistan,Saint Vincent and the Grenadines,3
Afghanistan,Sudan,0
Afghanistan,Suriname,0
Afghanistan,Sweden,0
Afghanistan,Switzerland,0
Afghanistan,Syria,0
Afghanistan,Taiwan,0
Afghanistan,Tajikistan,0
Afghanistan,Tanzania,0
Afghanistan,Thailand,0
Afghanistan,Timor-Leste,1
Afghanistan,Togo,1
Afghanistan,Tonga,0
Afghanistan,Trinidad and Tobago,0
Afghanistan,Tunisia,0
Afghanistan,Turkey,0
Afghanistan,Turkmenistan,0
Afghanistan,Tuvalu,1
Afghanistan,Uganda,1
Afghanistan,Ukraine,0
Afghanistan,United Arab Emirates,0
Afghanistan,United Kingdom,0
Afghanistan,United States,0
Afghanistan,Uruguay,0
Afghanistan,Uzbekistan,0
Afghanistan,Vanuatu,0
Afghanistan,Vatican,0
Afghanistan,Venezuela,0
Afghanistan,Viet Nam,0
Afghanistan,Yemen,0
Afghanistan,Zambia,0
Afghanistan,Zimbabwe,0
Albania,Afghanistan,0
Albania,Albania,-1
Albania,Algeria,0
Albania,Andorra,3
Albania,Angola,0
Albania,Antigua and Barbuda,3
Albania,Argentina,0
Albania,Armenia,3
Albania,Australia,0
Albania,Austria,3
Albania,Azerbaijan,1
Albania,Bahamas,0
Albania,Bahrain,0
Albania,Bangladesh,1
Albania,Barbados,3
Albania,Belarus,3
Albania,Belgium,3
Albania,Belize,0
Albania,Benin,0
Albania,Bhutan,0
Albania,Bolivia,1
Albania,Bosnia and Herzegovina,3
Albania,Botswana,0
Albania,Brazil,3
Albania,Brunei,0
Albania,Bulgaria,3
Albania,Burkina Faso,0
Albania,Burundi,0
Albania,Cambodia,1
Albania,Cameroon,0
Albania,Canada,0
Albania,Cape Verde,1
Albania,Central African Republic,0
Albania,Chad,0
Albania,Chile,3
Albania,China,0
Albania,Colombia,3
Albania,Comoros,1
Albania,Congo,0
Albania,DR Congo,0
Albania,Costa Rica,0
Albania,Ivory Coast,2
Albania,Croatia,3
Albania,Cuba,1
Albania,Cyprus,3
Albania,Czech Republic,3
Albania,Denmark,3
Albania,Djibouti,1
Albania,Dominica,3
Albania,Dominican Republic,3
Albania,Ecuador,3
Albania,Egypt,1
Albania,El Salvador,3
Albania,Equatorial Guinea,0
Albania,Eritrea,0
Albania,Estonia,3
Albania,Swaziland,0
Albania,Ethiopia,1
Albania,Fiji,0
Albania,Finland,3
Albania,France,3
Albania,Gabon,1
Albania,Gambia,3
Albania,Georgia,3
Albania,Germany,3
Albania,Ghana,0
Albania,Greece,3
Albania,Grenada,0
Albania,Guatemala,0
Albania,Guinea,0
Albania,Guinea-Bissau,1
Albania,Guyana,0
Albania,Haiti,3
Albania,Honduras,0
Albania,Hong Kong,3
Albania,Hungary,3
Albania,Iceland,3
Albania,India,2
Albania,Indonesia,3
Albania,Iran,1
Albania,Iraq,0
Albania,Ireland,0
Albania,Israel,3
Albania,Italy,3
Albania,Jamaica,1
Albania,Japan,0
Albania,Jordan,0
Albania,Kazakhstan,0
Albania,Kenya,1
Albania,Kiribati,0
Albania,Kosovo,3
Albania,Kuwait,0
Albania,Kyrgyzstan,1
Albania,Laos,1
Albania,Latvia,3
Albania,Lebanon,0
Albania,Lesotho,1
Albania,Liberia,0
Albania,Libya,0
Albania,Liechtenstein,3
Albania,Lithuania,3
Albania,Luxembourg,3
Albania,Macao,3
Albania,Madagascar,1
Albania,Malawi,1
Albania,Malaysia,3
Albania,Maldives,1
Albania,Mali,0
Albania,Malta,3
Albania,Marshall Islands,0
Albania,Mauritania,1
Albania,Mauritius,1
Albania,Mexico,0
Albania,Micronesia,3
Albania,Moldova,3
Albania,Monaco,3
Albania,Mongolia,0
Albania,Montenegro,3
Albania,Morocco,0
Albania,Mozambique,1
Albania,Myanmar,1
Albania,Namibia,0
Albania,Nauru,0
Albania,Nepal,1
Albania,Netherlands,3
Albania,New Zealand,0
Albania,Nicaragua,0
Albania,Niger,0
Albania,Nigeria,1
Albania,North Korea,0
Albania,North Macedonia,3
Albania,Norway,3
Albania,Oman,1
Albania,Pakistan,0
Albania,Palau,1
Albania,Palestine,3
Albania,Panama,0
Albania,Papua New Guinea,0
Albania,Paraguay,0
Albania,Peru,0
Albania,Philippines,0
Albania,Poland,3
Albania,Portugal,3
Albania,Qatar,1
Albania,Romania,3
Albania,Russian Federation,0
Albania,Rwanda,1
Albania,Saint Kitts and Nevis,0
Albania,Saint Lucia,0
Albania,Samoa,1
Albania,San Marino,3
Albania,Sao Tome and Principe,0
Albania,Saudi Arabia,0
Albania,Senegal,1
